code5,selected_fpocket_number,overlap_score,pdb_id,chain_id,instance_id,rcsb_entity_id,rcsb30_cluster_id,mapping_status
11asA,1,0.5502,11AS,A,11AS.A,11AS_1,RCSB30_1278,mapped
13pkD,3,0.7658,13PK,D,13PK.D,13PK_1,RCSB30_2300,mapped
154lA,2,0.6782,154L,A,154L.A,154L_1,RCSB30_7741,mapped
1a05B,3,0.9232,1A05,B,1A05.B,1A05_1,RCSB30_117,mapped
1a0iA,1,0.9102,1A0I,A,1A0I.A,1A0I_1,RCSB30_102985,mapped
1a0jC,2,0.9014,1A0J,C,1A0J.C,1A0J_1,RCSB30_67,mapped
1a3gB,1,0.703,1A3G,B,1A3G.B,1A3G_1,RCSB30_4384,mapped
1a4eD,1,0.8828,1A4E,D,1A4E.D,1A4E_1,RCSB30_842,mapped
1a4iB,2,0.6481,1A4I,B,1A4I.B,1A4I_1,RCSB30_254,mapped
1a4mD,2,0.9471,1A4M,D,1A4M.D,1A4M_1,RCSB30_3172,mapped
1a6eA,1,0.8621,1A6E,A,1A6E.A,1A6E_1,RCSB30_504,mapped
1a6eB,1,0.829,1A6E,B,1A6E.B,1A6E_2,RCSB30_504,mapped
1a6vD,1,0.8423,1A6V,D,1A6V.D,1A6V_2,RCSB30_1,mapped
1a7sA,1,0.5204,1A7S,A,1A7S.A,1A7S_1,RCSB30_1853,mapped
1a80A,1,0.8691,1A80,A,1A80.A,1A80_1,RCSB30_438,mapped
1a8pA,1,0.7795,1A8P,A,1A8P.A,1A8P_1,RCSB30_5720,mapped
1a8tA,1,0.9169,1A8T,A,1A8T.A,1A8T_1,RCSB30_440,mapped
1a8uB,2,0.7633,1A8U,B,1A8U.B,1A8U_1,RCSB30_5189,mapped
1a9wB,1,0.759,1A9W,B,1A9W.B,1A9W_2,RCSB30_70,mapped
1adyC,1,0.9313,1ADY,C,1ADY.C,1ADY_1,RCSB30_249,mapped
1ae1A,1,0.8234,1AE1,A,1AE1.A,1AE1_1,RCSB30_1170,mapped
1af7A,1,0.8242,1AF7,A,1AF7.A,1AF7_1,RCSB30_29290,mapped
1afwA,1,0.6491,1AFW,A,1AFW.A,1AFW_1,RCSB30_891,mapped
1ahaA,1,0.9555,1AHA,A,1AHA.A,1AHA_1,RCSB30_1998,mapped
1ahhA,3,0.6507,1AHH,A,1AHH.A,1AHH_1,RCSB30_708,mapped
1ai9A,2,0.6549,1AI9,A,1AI9.A,1AI9_1,RCSB30_1132,mapped
1aimA,2,0.8035,1AIM,A,1AIM.A,1AIM_1,RCSB30_3073,mapped
1alwB,2,0.9547,1ALW,B,1ALW.B,1ALW_1,RCSB30_6673,mapped
1aodA,2,0.5776,1AOD,A,1AOD.A,1AOD_1,RCSB30_61673,mapped
1aomA,1,0.7313,1AOM,A,1AOM.A,1AOM_1,RCSB30_7674,mapped
1apuA,3,0.5994,1APU,A,1APU.A,1APU_1,RCSB30_57,mapped
1aqcC,3,0.5694,1AQC,C,1AQC.C,1AQC_1,RCSB30_13813,mapped
1aqyB,1,0.6019,1AQY,B,1AQY.B,1AQY_1,RCSB30_2740,mapped
1ashA,1,0.8545,1ASH,A,1ASH.A,1ASH_1,RCSB30_11650,mapped
1aszC,2,0.7764,1ASZ,C,1ASZ.C,1ASZ_2,RCSB30_5340,mapped
1atlA,1,0.9487,1ATL,A,1ATL.A,1ATL_1,RCSB30_2141,mapped
1avpA,2,0.684,1AVP,A,1AVP.A,1AVP_1,RCSB30_19883,mapped
1awbA,1,0.9061,1AWB,A,1AWB.A,1AWB_1,RCSB30_3956,mapped
1awiB,1,0.6159,1AWI,B,1AWI.B,1AWI_1,RCSB30_4173,mapped
1awpB,1,1.0,1AWP,B,1AWP.B,1AWP_1,RCSB30_1639,mapped
1ay4A,2,0.8222,1AY4,A,1AY4.A,1AY4_1,RCSB30_578,mapped
1aygA,1,0.8591,1AYG,A,1AYG.A,1AYG_1,RCSB30_5606,mapped
1aymA,1,0.7991,1AYM,A,1AYM.A,1AYM_1,RCSB30_19,mapped
1ayxA,2,0.854,1AYX,A,1AYX.A,1AYX_1,RCSB30_21016,mapped
1b0bA,1,0.8607,1B0B,A,1B0B.A,1B0B_1,RCSB30_41466,mapped
1b0uA,3,0.8589,1B0U,A,1B0U.A,1B0U_1,RCSB30_788,mapped
1b1cA,1,0.9181,1B1C,A,1B1C.A,1B1C_1,RCSB30_980,mapped
1b25C,1,0.7448,1B25,C,1B25.C,1B25_1,RCSB30_15157,mapped
1b2iA,1,1.0,1B2I,A,1B2I.A,1B2I_1,RCSB30_158,mapped
1b33H,1,0.8158,1B33,H,1B33.H,1B33_1,RCSB30_2391,mapped
1b48A,1,0.5685,1B48,A,1B48.A,1B48_1,RCSB30_2361,mapped
1b4kA,1,0.8433,1B4K,A,1B4K.A,1B4K_1,RCSB30_1667,mapped
1b4uB,1,0.5901,1B4U,B,1B4U.B,1B4U_2,RCSB30_15791,mapped
1b5dA,1,0.6425,1B5D,A,1B5D.A,1B5D_1,RCSB30_34106,mapped
1b5jA,1,0.7563,1B5J,A,1B5J.A,1B5J_1,RCSB30_1164,mapped
1b5pB,2,0.8541,1B5P,B,1B5P.B,1B5P_1,RCSB30_3326,mapped
1b6sD,1,0.946,1B6S,D,1B6S.D,1B6S_1,RCSB30_14824,mapped
1b74A,1,0.7162,1B74,A,1B74.A,1B74_1,RCSB30_801,mapped
1b76A,1,0.8976,1B76,A,1B76.A,1B76_1,RCSB30_2237,mapped
1b80A,1,0.9074,1B80,A,1B80.A,1B80_1,RCSB30_2251,mapped
1b8gB,1,0.8593,1B8G,B,1B8G.B,1B8G_1,RCSB30_3217,mapped
1b8hB,1,0.7309,1B8H,B,1B8H.B,1B8H_1,RCSB30_13369,mapped
1b8vA,1,0.6914,1B8V,A,1B8V.A,1B8V_1,RCSB30_838,mapped
1b9hA,1,0.7535,1B9H,A,1B9H.A,1B9H_1,RCSB30_7040,mapped
1bagA,1,0.8795,1BAG,A,1BAG.A,1BAG_1,RCSB30_42007,mapped
1baiA,2,0.4256,1BAI,A,1BAI.A,1BAI_1,RCSB30_64306,mapped
1bbuA,1,0.5737,1BBU,A,1BBU.A,1BBU_1,RCSB30_534,mapped
1bcpE,1,0.857,1BCP,E,1BCP.E,1BCP_4,RCSB30_20186,mapped
1bd4A,3,0.8276,1BD4,A,1BD4.A,1BD4_1,RCSB30_6117,mapped
