"channel","threshold","binding_site_index","ligand_group","smooth_value","mean_value","sd_value"
"c12",10,49,"AMP",-1.81019351928699,-1.60998231755196,1.4037044406874
"c12",10,7,"AMP",-1.57175840143858,-1.60998231755196,1.4037044406874
"c12",10,58,"AMP",-2.82660626311103,-1.60998231755196,1.4037044406874
"c12",10,35,"AMP",-2.8665014447765,-1.60998231755196,1.4037044406874
"c12",10,41,"AMP",-2.46576798224652,-1.60998231755196,1.4037044406874
"c12",10,53,"AMP",-1.52733574149394,-1.60998231755196,1.4037044406874
"c12",10,36,"AMP",-2.68753273594783,-1.60998231755196,1.4037044406874
"c12",10,59,"AMP",-3.17503150595744,-1.60998231755196,1.4037044406874
"c12",10,4,"AMP",-1.77774470227739,-1.60998231755196,1.4037044406874
"c12",10,46,"AMP",-1.83143616384681,-1.60998231755196,1.4037044406874
"c12",10,55,"AMP",-0.742903799063196,-1.60998231755196,1.4037044406874
"c12",10,12,"AMP",1.05158574165758,-1.60998231755196,1.4037044406874
"c12",10,8,"AMP",-1.86199018657274,-1.60998231755196,1.4037044406874
"c12",10,26,"AMP",-2.01828680375237,-1.60998231755196,1.4037044406874
"c12",10,5,"AMP",-3.24801026298133,-1.60998231755196,1.4037044406874
"c12",10,10,"AMP",-0.734427584520393,-1.60998231755196,1.4037044406874
"c12",10,6,"AMP",-0.799419810945589,-1.60998231755196,1.4037044406874
"c12",10,54,"AMP",-0.308006450304804,-1.60998231755196,1.4037044406874
"c12",10,9,"AMP",-0.229445033445258,-1.60998231755196,1.4037044406874
"c12",10,57,"AMP",-2.00464296793281,-1.60998231755196,1.4037044406874
"c12",10,48,"AMP",-0.816791204567933,-1.60998231755196,1.4037044406874
"c12",10,34,"AMP",-2.35346861047493,-1.60998231755196,1.4037044406874
"c12",10,21,"AMP",-3.47460387934698,-1.60998231755196,1.4037044406874
"c12",10,25,"AMP",1.15714992838969,-1.60998231755196,1.4037044406874
"c12",10,13,"AMP",-3.00661203864432,-1.60998231755196,1.4037044406874
"c12",10,44,"AMP",-4.55616267992309,-1.60998231755196,1.4037044406874
"c12",10,22,"AMP",-0.29743344020827,-1.60998231755196,1.4037044406874
"c12",10,2,"AMP",0.41964167564407,-1.60998231755196,1.4037044406874
"c12",10,23,"AMP",-1.67353740180287,-1.60998231755196,1.4037044406874
"c12",10,14,"AMP",-2.85237502939536,-1.60998231755196,1.4037044406874
"c12",10,45,"AMP",-1.62082337901443,-1.60998231755196,1.4037044406874
"c12",10,33,"AMP",-1.04905126707949,-1.60998231755196,1.4037044406874
"c12",10,18,"AMP",0.186434671269909,-1.60998231755196,1.4037044406874
"c12",10,42,"AMP",-1.85303517166168,-1.60998231755196,1.4037044406874
"c12",10,17,"AMP",-2.46744942253028,-1.60998231755196,1.4037044406874
"c12",10,60,"AMP",-2.47990629338657,-1.60998231755196,1.4037044406874
"c12",10,1,"AMP",-2.41330719479585,-1.60998231755196,1.4037044406874
"c12",10,52,"AMP",0.055967948307056,-1.60998231755196,1.4037044406874
"c12",10,19,"AMP",-2.14497936710193,-1.60998231755196,1.4037044406874
"c12",10,38,"AMP",-1.21745583660261,-1.60998231755196,1.4037044406874
"c12",10,43,"AMP",4.17645066741682,-1.60998231755196,1.4037044406874
"c12",10,50,"AMP",-2.89644877287913,-1.60998231755196,1.4037044406874
"c12",10,56,"AMP",-1.45855140335729,-1.60998231755196,1.4037044406874
"c12",10,29,"AMP",-2.62485763945322,-1.60998231755196,1.4037044406874
"c12",10,16,"AMP",-2.17558750476001,-1.60998231755196,1.4037044406874
"c12",10,3,"AMP",-3.02546075113745,-1.60998231755196,1.4037044406874
"c12",10,27,"AMP",-1.15228362377266,-1.60998231755196,1.4037044406874
"c12",10,40,"AMP",-1.90768227839213,-1.60998231755196,1.4037044406874
"c12",10,51,"AMP",-0.673139789267452,-1.60998231755196,1.4037044406874
"c12",10,37,"AMP",-0.91591001057898,-1.60998231755196,1.4037044406874
"c12",10,31,"AMP",-1.86106982916634,-1.60998231755196,1.4037044406874
"c12",10,11,"AMP",-1.13763950765942,-1.60998231755196,1.4037044406874
"c12",10,28,"AMP",-2.57210346501647,-1.60998231755196,1.4037044406874
"c12",10,20,"AMP",-3.31761533182494,-1.60998231755196,1.4037044406874
"c12",10,39,"AMP",-1.51078266342331,-1.60998231755196,1.4037044406874
"c12",10,47,"AMP",-3.29589559170498,-1.60998231755196,1.4037044406874
"c12",10,15,"AMP",-1.00712751056924,-1.60998231755196,1.4037044406874
"c12",10,32,"AMP",-1.78496585826142,-1.60998231755196,1.4037044406874
"c12",10,30,"AMP",0.732518730548255,-1.60998231755196,1.4037044406874
"c12",10,24,"AMP",-2.2975333086886,-1.60998231755196,1.4037044406874
"c12",10.1,8,"AMP",-1.76200324397567,-1.61739506399976,1.40278542916732
"c12",10.1,45,"AMP",-1.6084846903174,-1.61739506399976,1.40278542916732
"c12",10.1,35,"AMP",-2.87119337323419,-1.61739506399976,1.40278542916732
"c12",10.1,54,"AMP",-0.271933653549973,-1.61739506399976,1.40278542916732
"c12",10.1,60,"AMP",-2.48254445166649,-1.61739506399976,1.40278542916732
"c12",10.1,36,"AMP",-2.60397326680434,-1.61739506399976,1.40278542916732
"c12",10.1,19,"AMP",-2.13577737077308,-1.61739506399976,1.40278542916732
"c12",10.1,13,"AMP",-3.07141474500464,-1.61739506399976,1.40278542916732
"c12",10.1,58,"AMP",-2.74590365562229,-1.61739506399976,1.40278542916732
"c12",10.1,50,"AMP",-2.98984793586399,-1.61739506399976,1.40278542916732
"c12",10.1,41,"AMP",-2.57883450332295,-1.61739506399976,1.40278542916732
