"site_index","site_id","label","threshold","element","count","total_atoms","proportion"
1,"12as","AMP",10,"C",281,447,0.628635346756152
1,"12as","AMP",10,"N",82,447,0.1834451901566
1,"12as","AMP",10,"O",81,447,0.181208053691275
1,"12as","AMP",10,"P",0,447,0
1,"12as","AMP",10,"S",3,447,0.00671140939597315
2,"1aer","AMP",10,"C",185,286,0.646853146853147
2,"1aer","AMP",10,"N",52,286,0.181818181818182
2,"1aer","AMP",10,"O",49,286,0.171328671328671
2,"1aer","AMP",10,"P",0,286,0
2,"1aer","AMP",10,"S",0,286,0
3,"1amu","AMP",10,"C",264,414,0.63768115942029
3,"1amu","AMP",10,"N",67,414,0.161835748792271
3,"1amu","AMP",10,"O",82,414,0.198067632850242
3,"1amu","AMP",10,"P",0,414,0
3,"1amu","AMP",10,"S",1,414,0.00241545893719807
4,"1ank","AMP",10,"C",261,411,0.635036496350365
4,"1ank","AMP",10,"N",75,411,0.182481751824818
4,"1ank","AMP",10,"O",71,411,0.172749391727494
4,"1ank","AMP",10,"P",0,411,0
4,"1ank","AMP",10,"S",4,411,0.0097323600973236
5,"1c0a","AMP",10,"C",187,272,0.6875
5,"1c0a","AMP",10,"N",45,272,0.165441176470588
5,"1c0a","AMP",10,"O",38,272,0.139705882352941
5,"1c0a","AMP",10,"P",0,272,0
5,"1c0a","AMP",10,"S",2,272,0.00735294117647059
6,"1cja","AMP",10,"C",223,357,0.624649859943978
6,"1cja","AMP",10,"N",60,357,0.168067226890756
6,"1cja","AMP",10,"O",72,357,0.201680672268908
6,"1cja","AMP",10,"P",0,357,0
6,"1cja","AMP",10,"S",2,357,0.00560224089635854
7,"1ct9","AMP",10,"C",280,436,0.642201834862385
7,"1ct9","AMP",10,"N",71,436,0.162844036697248
7,"1ct9","AMP",10,"O",81,436,0.185779816513761
7,"1ct9","AMP",10,"P",0,436,0
7,"1ct9","AMP",10,"S",4,436,0.0091743119266055
8,"1del","AMP",10,"C",126,205,0.614634146341463
8,"1del","AMP",10,"N",39,205,0.190243902439024
8,"1del","AMP",10,"O",40,205,0.195121951219512
8,"1del","AMP",10,"P",0,205,0
8,"1del","AMP",10,"S",0,205,0
9,"1dgs","AMP",10,"C",238,367,0.64850136239782
9,"1dgs","AMP",10,"N",61,367,0.166212534059946
9,"1dgs","AMP",10,"O",66,367,0.17983651226158
9,"1dgs","AMP",10,"P",0,367,0
9,"1dgs","AMP",10,"S",2,367,0.00544959128065395
10,"1ecj","AMP",10,"C",223,332,0.671686746987952
10,"1ecj","AMP",10,"N",50,332,0.150602409638554
10,"1ecj","AMP",10,"O",58,332,0.174698795180723
10,"1ecj","AMP",10,"P",0,332,0
10,"1ecj","AMP",10,"S",1,332,0.00301204819277108
11,"1eyj","AMP",10,"C",173,280,0.617857142857143
11,"1eyj","AMP",10,"N",51,280,0.182142857142857
11,"1eyj","AMP",10,"O",53,280,0.189285714285714
11,"1eyj","AMP",10,"P",0,280,0
11,"1eyj","AMP",10,"S",3,280,0.0107142857142857
12,"1fvi","AMP",10,"C",226,343,0.658892128279883
12,"1fvi","AMP",10,"N",59,343,0.17201166180758
12,"1fvi","AMP",10,"O",57,343,0.166180758017493
12,"1fvi","AMP",10,"P",0,343,0
12,"1fvi","AMP",10,"S",1,343,0.00291545189504373
13,"1fyd","AMP",10,"C",275,440,0.625
13,"1fyd","AMP",10,"N",78,440,0.177272727272727
13,"1fyd","AMP",10,"O",87,440,0.197727272727273
13,"1fyd","AMP",10,"P",0,440,0
13,"1fyd","AMP",10,"S",0,440,0
14,"1gts","AMP",10,"C",252,393,0.641221374045801
14,"1gts","AMP",10,"N",68,393,0.173027989821883
14,"1gts","AMP",10,"O",70,393,0.178117048346056
14,"1gts","AMP",10,"P",0,393,0
14,"1gts","AMP",10,"S",3,393,0.00763358778625954
15,"1hdi","AMP",10,"C",214,329,0.650455927051672
15,"1hdi","AMP",10,"N",51,329,0.155015197568389
15,"1hdi","AMP",10,"O",60,329,0.182370820668693
15,"1hdi","AMP",10,"P",0,329,0
15,"1hdi","AMP",10,"S",4,329,0.0121580547112462
16,"1hto","AMP",10,"C",259,411,0.630170316301703
16,"1hto","AMP",10,"N",78,411,0.18978102189781
16,"1hto","AMP",10,"O",72,411,0.175182481751825
