"label","element","n_sites","n_sites_present","pct_sites_present","mean_count_all_sites","mean_count_among_present","min","q1","median","q3","max","min_among_present","q1_among_present","median_among_present","q3_among_present","max_among_present"
"AMP","C",60,60,100,224.333333333333,224.333333333333,55,189.25,237,264.75,289,55,189.25,237,264.75,289
"AMP","N",60,60,100,62.1,62.1,11,52,65,74.25,88,11,52,65,74.25,88
"AMP","O",60,60,100,64.2,64.2,17,53,67,76.25,89,17,53,67,76.25,89
"AMP","P",60,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"AMP","S",60,46,76.6666666666667,1.91666666666667,2.5,0,1,2,3,7,1,2,2,3,7
"ATP","C",78,78,100,238.846153846154,238.846153846154,115,205,247.5,284.5,319,115,205,247.5,284.5,319
"ATP","N",78,78,100,67.8076923076923,67.8076923076923,30,59.25,72,78.75,92,30,59.25,72,78.75,92
"ATP","O",78,78,100,70.6538461538462,70.6538461538462,32,60.75,72.5,82.5,99,32,60.75,72.5,82.5,99
"ATP","P",78,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ATP","S",78,55,70.5128205128205,1.53846153846154,2.18181818181818,0,0,1,3,6,1,1,2,3,6
"FAD","C",79,79,100,396.367088607595,396.367088607595,141,315,435,481,529,141,315,435,481,529
"FAD","N",79,79,100,106.341772151899,106.341772151899,37,82.5,115,127,151,37,82.5,115,127,151
"FAD","O",79,79,100,107.53164556962,107.53164556962,38,89.5,120,128.5,150,38,89.5,120,128.5,150
"FAD","P",79,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"FAD","S",79,74,93.6708860759494,3.30379746835443,3.52702702702703,0,2,3,5,8,1,2,3,5,8
"FMN","C",57,57,100,236.017543859649,236.017543859649,143,188,211,281,372,143,188,211,281,372
"FMN","N",57,57,100,65.7368421052632,65.7368421052632,36,54,61,76,104,36,54,61,76,104
"FMN","O",57,57,100,66.0350877192982,66.0350877192982,38,52,63,77,112,38,52,63,77,112
"FMN","P",57,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"FMN","S",57,43,75.4385964912281,1.80701754385965,2.3953488372093,0,1,1,3,7,1,1,2,3,7
"GLC","C",77,77,100,140.987012987013,140.987012987013,51,104,130,176,240,51,104,130,176,240
"GLC","N",77,77,100,40.3376623376623,40.3376623376623,15,31,37,51,72,15,31,37,51,72
"GLC","O",77,77,100,41.8831168831169,41.8831168831169,16,32,38,54,77,16,32,38,54,77
"GLC","P",77,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"GLC","S",77,33,42.8571428571429,0.74025974025974,1.72727272727273,0,0,0,1,6,1,1,1,2,6
"HEM","C",112,112,100,316.544642857143,316.544642857143,67,287.25,320,379.5,438,67,287.25,320,379.5,438
"HEM","N",112,112,100,82.9107142857143,82.9107142857143,19,71.75,82.5,98.25,121,19,71.75,82.5,98.25,121
"HEM","O",112,112,100,80.6875,80.6875,18,68.75,82,97.25,122,18,68.75,82,97.25,122
"HEM","P",112,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"HEM","S",112,103,91.9642857142857,3.36607142857143,3.66019417475728,0,2,3,5,9,1,2,3,5,9
"NAD","C",90,90,100,328.111111111111,328.111111111111,180,292.75,328.5,375.75,461,180,292.75,328.5,375.75,461
"NAD","N",90,90,100,89.2888888888889,89.2888888888889,48,78.25,90.5,101,134,48,78.25,90.5,101,134
"NAD","O",90,90,100,93.7444444444444,93.7444444444444,52,83.25,95,105,134,52,83.25,95,105,134
"NAD","P",90,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"NAD","S",90,77,85.5555555555556,2.55555555555556,2.98701298701299,0,1,2,3.75,8,1,2,3,4,8
"PO4","C",351,351,100,115.111111111111,115.111111111111,27,87,119,142.5,209,27,87,119,142.5,209
"PO4","N",351,351,100,34.5726495726496,34.5726495726496,8,26,36,42,58,8,26,36,42,58
"PO4","O",351,351,100,35.1566951566952,35.1566951566952,6,25,35,45,67,6,25,35,45,67
"PO4","P",351,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"PO4","S",351,175,49.8575498575499,0.826210826210826,1.65714285714286,0,0,0,1,7,1,1,1,2,7
