"t_end","fold","classifier","accuracy","k_use"
6,1,"RF",0.722826086956522,4
6,1,"MultinomialLasso",0.717391304347826,4
6,1,"Mahalanobis",0.646739130434783,4
6,2,"RF",0.743169398907104,4
6,2,"MultinomialLasso",0.754098360655738,4
6,2,"Mahalanobis",0.59016393442623,4
6,3,"RF",0.744444444444444,4
6,3,"MultinomialLasso",0.75,4
6,3,"Mahalanobis",0.616666666666667,4
6,4,"RF",0.731843575418994,4
6,4,"MultinomialLasso",0.737430167597765,4
6,4,"Mahalanobis",0.592178770949721,4
6,5,"RF",0.707865168539326,4
6,5,"MultinomialLasso",0.769662921348315,4
6,5,"Mahalanobis",0.657303370786517,4
6.2,1,"RF",0.744565217391304,4
6.2,1,"MultinomialLasso",0.717391304347826,4
6.2,1,"Mahalanobis",0.652173913043478,4
6.2,2,"RF",0.754098360655738,4
6.2,2,"MultinomialLasso",0.759562841530055,4
6.2,2,"Mahalanobis",0.573770491803279,4
6.2,3,"RF",0.744444444444444,4
6.2,3,"MultinomialLasso",0.755555555555556,4
6.2,3,"Mahalanobis",0.605555555555556,4
6.2,4,"RF",0.737430167597765,4
6.2,4,"MultinomialLasso",0.737430167597765,4
6.2,4,"Mahalanobis",0.58659217877095,4
6.2,5,"RF",0.730337078651685,4
6.2,5,"MultinomialLasso",0.775280898876405,4
6.2,5,"Mahalanobis",0.657303370786517,4
6.4,1,"RF",0.722826086956522,4
6.4,1,"MultinomialLasso",0.728260869565217,4
6.4,1,"Mahalanobis",0.646739130434783,4
6.4,2,"RF",0.770491803278688,4
6.4,2,"MultinomialLasso",0.765027322404372,4
6.4,2,"Mahalanobis",0.551912568306011,4
6.4,3,"RF",0.733333333333333,4
6.4,3,"MultinomialLasso",0.761111111111111,4
6.4,3,"Mahalanobis",0.588888888888889,4
6.4,4,"RF",0.748603351955307,4
6.4,4,"MultinomialLasso",0.743016759776536,4
6.4,4,"Mahalanobis",0.581005586592179,4
6.4,5,"RF",0.741573033707865,4
6.4,5,"MultinomialLasso",0.769662921348315,4
6.4,5,"Mahalanobis",0.651685393258427,4
6.6,1,"RF",0.706521739130435,4
6.6,1,"MultinomialLasso",0.722826086956522,4
6.6,1,"Mahalanobis",0.625,4
6.6,2,"RF",0.765027322404372,4
6.6,2,"MultinomialLasso",0.765027322404372,4
6.6,2,"Mahalanobis",0.546448087431694,4
6.6,3,"RF",0.722222222222222,4
6.6,3,"MultinomialLasso",0.755555555555556,4
6.6,3,"Mahalanobis",0.583333333333333,4
6.6,4,"RF",0.748603351955307,4
6.6,4,"MultinomialLasso",0.743016759776536,4
6.6,4,"Mahalanobis",0.592178770949721,4
6.6,5,"RF",0.747191011235955,4
6.6,5,"MultinomialLasso",0.769662921348315,4
6.6,5,"Mahalanobis",0.646067415730337,4
6.8,1,"RF",0.701086956521739,4
6.8,1,"MultinomialLasso",0.722826086956522,4
6.8,1,"Mahalanobis",0.630434782608696,4
6.8,2,"RF",0.759562841530055,4
6.8,2,"MultinomialLasso",0.765027322404372,4
6.8,2,"Mahalanobis",0.540983606557377,4
6.8,3,"RF",0.733333333333333,4
6.8,3,"MultinomialLasso",0.75,4
6.8,3,"Mahalanobis",0.583333333333333,4
6.8,4,"RF",0.759776536312849,5
6.8,4,"MultinomialLasso",0.770949720670391,5
6.8,4,"Mahalanobis",0.581005586592179,5
6.8,5,"RF",0.775280898876405,5
6.8,5,"MultinomialLasso",0.730337078651685,5
6.8,5,"Mahalanobis",0.674157303370786,5
7,1,"RF",0.706521739130435,5
7,1,"MultinomialLasso",0.739130434782609,5
7,1,"Mahalanobis",0.657608695652174,5
7,2,"RF",0.781420765027322,5
7,2,"MultinomialLasso",0.775956284153005,5
7,2,"Mahalanobis",0.60655737704918,5
7,3,"RF",0.738888888888889,5
7,3,"MultinomialLasso",0.722222222222222,5
7,3,"Mahalanobis",0.605555555555556,5
7,4,"RF",0.776536312849162,5
7,4,"MultinomialLasso",0.759776536312849,5
7,4,"Mahalanobis",0.581005586592179,5
7,5,"RF",0.764044943820225,5
7,5,"MultinomialLasso",0.735955056179775,5
7,5,"Mahalanobis",0.668539325842697,5
7.2,1,"RF",0.728260869565217,5
7.2,1,"MultinomialLasso",0.744565217391304,5
7.2,1,"Mahalanobis",0.66304347826087,5
7.2,2,"RF",0.781420765027322,5
7.2,2,"MultinomialLasso",0.775956284153005,5
7.2,2,"Mahalanobis",0.60655737704918,5
7.2,3,"RF",0.75,5
7.2,3,"MultinomialLasso",0.722222222222222,5
7.2,3,"Mahalanobis",0.605555555555556,5
7.2,4,"RF",0.776536312849162,5
7.2,4,"MultinomialLasso",0.76536312849162,5
7.2,4,"Mahalanobis",0.575418994413408,5
7.2,5,"RF",0.775280898876405,5
7.2,5,"MultinomialLasso",0.741573033707865,5
7.2,5,"Mahalanobis",0.657303370786517,5
7.4,1,"RF",0.739130434782609,5
7.4,1,"MultinomialLasso",0.75,5
7.4,1,"Mahalanobis",0.668478260869565,5
