"t_end","classifier","mean_accuracy","mean_k_use","sd_accuracy","sd_k_use"
6,"Mahalanobis",0.620610374652783,4,0.0307407810906881,0
6.2,"Mahalanobis",0.615079101991956,4,0.0379720880688347,0
6.4,"Mahalanobis",0.604046313496058,4,0.0435049093301283,0
6.6,"Mahalanobis",0.598605521489017,4,0.0385494509748256,0
6.8,"Mahalanobis",0.601982922492474,4.4,0.05130161289148,0.547722557505166
7,"Mahalanobis",0.623853308138357,5,0.0374371159012092,0
7.2,"Mahalanobis",0.621575755213106,5,0.0374455592046322,0
7.4,"Mahalanobis",0.619261225887237,5,0.034738825009388,0
7.6,"Mahalanobis",0.614828521382878,5,0.0371186366209944,0
7.8,"Mahalanobis",0.610414031814767,5,0.0394807225961607,0
8,"Mahalanobis",0.61481071360859,5,0.046413722537779,0
8.2,"Mahalanobis",0.612581946644986,5,0.0444788242111123,0
8.4,"Mahalanobis",0.61150126719311,5,0.046075709517532,0
8.6,"Mahalanobis",0.592763828460223,5.6,0.0649476476149272,0.547722557505166
8.8,"Mahalanobis",0.587243283489263,5.8,0.0568298457816699,0.447213595499958
9,"Mahalanobis",0.573920875896373,6,0.0565713185361241,0
9.2,"Mahalanobis",0.573902660960126,6,0.0567565671949993,0
9.4,"Mahalanobis",0.577260893337252,6,0.0543822471256624,0
9.6,"Mahalanobis",0.574983340412001,6,0.0552945963786193,0
9.8,"Mahalanobis",0.577163471965208,6,0.0616760650034706,0
10,"Mahalanobis",0.572675576123983,6,0.0620609535460944,0
10.2,"Mahalanobis",0.568309931077654,6.2,0.059893562628408,0.447213595499958
10.4,"Mahalanobis",0.56830372375301,6.2,0.0611181029743967,0.447213595499958
10.6,"Mahalanobis",0.568370108377561,6.8,0.0473446625814066,0.447213595499958
10.8,"Mahalanobis",0.56506666017534,7,0.0447648171682075,0
11,"Mahalanobis",0.567246512871943,7,0.0462606138758382,0
11.2,"Mahalanobis",0.563912633010487,7,0.0432525488547775,0
11.4,"Mahalanobis",0.563955816735748,7,0.046215662164656,0
11.6,"Mahalanobis",0.566245307527383,7,0.04203242434905,0
11.8,"Mahalanobis",0.565146134282656,7,0.0397913838140173,0
12,"Mahalanobis",0.570611220245231,7,0.0441055921859937,0
12.2,"Mahalanobis",0.568346151714487,7,0.0473978303782185,0
12.4,"Mahalanobis",0.564994126662004,7,0.0491205677716612,0
12.6,"Mahalanobis",0.559480126432426,7,0.0438429173465641,0
12.8,"Mahalanobis",0.560536115951892,7,0.0437788783176642,0
13,"Mahalanobis",0.560536115951892,7,0.0437788783176642,0
13.2,"Mahalanobis",0.565000066315128,7.2,0.0473705626576519,0.447213595499958
13.4,"Mahalanobis",0.567143617444591,7.2,0.0542601966892062,0.447213595499958
13.6,"Mahalanobis",0.564878618659068,7.4,0.060904188048504,0.547722557505166
13.8,"Mahalanobis",0.558369550788631,7.8,0.0569863611952158,0.447213595499958
14,"Mahalanobis",0.557270854326806,8,0.0564120922567381,0
14.2,"Mahalanobis",0.560586240395411,8,0.0560366780125803,0
14.4,"Mahalanobis",0.559505223526796,8,0.0516572916898186,0
14.6,"Mahalanobis",0.55953626027429,8,0.0581729792664727,0
14.8,"Mahalanobis",0.559590846522898,8,0.0559386247252406,0
15,"Mahalanobis",0.560701957634009,8,0.0553386396563902,0
15.2,"Mahalanobis",0.56291844931449,8,0.0559727551690199,0
15.4,"Mahalanobis",0.564059922339616,8,0.0522993535513322,0
15.6,"Mahalanobis",0.565183517845234,8,0.0537865100645616,0
15.8,"Mahalanobis",0.564084344600507,8,0.0515493333458084,0
16,"Mahalanobis",0.561842814385791,8.2,0.0441063902137489,0.447213595499958
16.2,"Mahalanobis",0.566342519788044,8.4,0.0395436688427727,0.547722557505166
16.4,"Mahalanobis",0.56305155598033,8.8,0.0398360627402208,0.447213595499958
16.6,"Mahalanobis",0.567417806114918,9,0.0452536416366885,0
16.8,"Mahalanobis",0.567393383854027,9,0.0450891219197721,0
