"site_index","site_id","label","threshold","total_atoms","n_non_CON","pct_non_CON","elements_non_CON_present"
1,"12as","AMP",10,447,3,0.671140939597315,"S"
2,"1aer","AMP",10,286,0,0,""
3,"1amu","AMP",10,414,1,0.241545893719807,"S"
4,"1ank","AMP",10,411,4,0.97323600973236,"S"
5,"1c0a","AMP",10,272,2,0.735294117647059,"S"
6,"1cja","AMP",10,357,2,0.560224089635854,"S"
7,"1ct9","AMP",10,436,4,0.91743119266055,"S"
8,"1del","AMP",10,205,0,0,""
9,"1dgs","AMP",10,367,2,0.544959128065395,"S"
10,"1ecj","AMP",10,332,1,0.301204819277108,"S"
11,"1eyj","AMP",10,280,3,1.07142857142857,"S"
12,"1fvi","AMP",10,343,1,0.291545189504373,"S"
13,"1fyd","AMP",10,440,0,0,""
14,"1gts","AMP",10,393,3,0.763358778625954,"S"
15,"1hdi","AMP",10,329,4,1.21580547112462,"S"
16,"1hto","AMP",10,411,2,0.48661800486618,"S"
17,"1j20","AMP",10,441,1,0.226757369614512,"S"
18,"1jp4","AMP",10,389,3,0.77120822622108,"S"
19,"1k9y","AMP",10,412,1,0.242718446601942,"S"
20,"1kht","AMP",10,426,3,0.704225352112676,"S"
21,"1kpf","AMP",10,299,0,0,""
22,"1ktg","AMP",10,285,1,0.350877192982456,"S"
23,"1mb9","AMP",10,404,2,0.495049504950495,"S"
24,"1md9","AMP",10,423,0,0,""
25,"1obd","AMP",10,279,0,0,""
26,"1ore","AMP",10,388,2,0.515463917525773,"S"
27,"1qb8","AMP",10,354,3,0.847457627118644,"S"
28,"1qf6","AMP",10,438,7,1.59817351598174,"S"
29,"1ry2","AMP",10,444,0,0,""
30,"1s68","AMP",10,380,1,0.263157894736842,"S"
31,"1ses","AMP",10,418,2,0.478468899521531,"S"
32,"1tb7","AMP",10,438,4,0.91324200913242,"S"
33,"1u9z","AMP",10,83,0,0,""
34,"1ukz","AMP",10,432,1,0.231481481481481,"S"
35,"1v26","AMP",10,443,0,0,""
36,"1z84","AMP",10,325,4,1.23076923076923,"S"
37,"1zbu","AMP",10,343,3,0.87463556851312,"S"
38,"2a7x","AMP",10,374,2,0.53475935828877,"S"
39,"2art","AMP",10,443,3,0.677200902934537,"S"
40,"2c5s","AMP",10,370,5,1.35135135135135,"S"
41,"2cfm","AMP",10,460,0,0,""
42,"2d1q","AMP",10,400,2,0.5,"S"
43,"2dcl","AMP",10,171,0,0,""
44,"2dsd","AMP",10,282,1,0.354609929078014,"S"
45,"2f17","AMP",10,336,2,0.595238095238095,"S"
46,"2fjb","AMP",10,408,3,0.735294117647059,"S"
47,"2g1u","AMP",10,330,2,0.606060606060606,"S"
48,"2gm3","AMP",10,392,2,0.510204081632653,"S"
49,"2gsu","AMP",10,426,2,0.469483568075117,"S"
50,"2gxq","AMP",10,276,0,0,""
51,"2hbl","AMP",10,300,3,1,"S"
52,"2hcr","AMP",10,226,2,0.884955752212389,"S"
53,"2ivt","AMP",10,388,0,0,""
54,"2j91","AMP",10,120,2,1.66666666666667,"S"
55,"2j9d","AMP",10,213,2,0.938967136150235,"S"
56,"2jgd","AMP",10,354,3,0.847457627118644,"S"
57,"2oox","AMP",10,339,1,0.294985250737463,"S"
58,"2oun","AMP",10,456,7,1.53508771929825,"S"
59,"2ptq","AMP",10,272,0,0,""
60,"8gpb","AMP",10,250,1,0.4,"S"
61,"1a0i","ATP",10,378,1,0.264550264550265,"S"
62,"1a49","ATP",10,486,3,0.617283950617284,"S"
63,"1atn","ATP",10,480,3,0.625,"S"
64,"1ayl","ATP",10,466,1,0.214592274678112,"S"
65,"1b0u","ATP",10,253,1,0.395256916996047,"S"
66,"1b76","ATP",10,451,2,0.443458980044346,"S"
67,"1b8a","ATP",10,441,0,0,""
68,"1bcp","ATP",10,193,3,1.55440414507772,"S"
69,"1dv2","ATP",10,445,2,0.449438202247191,"S"
70,"1dy3","ATP",10,385,3,0.779220779220779,"S"
71,"1e24","ATP",10,433,3,0.69284064665127,"S"
72,"1e2q","ATP",10,333,0,0,""
73,"1e4g","ATP",10,471,0,0,""
74,"1e8x","ATP",10,413,3,0.726392251815981,"S"
75,"1esq","ATP",10,365,0,0,""
76,"1fmw","ATP",10,455,1,0.21978021978022,"S"
77,"1g21","ATP",10,400,1,0.25,"S"
78,"1g5t","ATP",10,233,0,0,""
79,"1gn8","ATP",10,438,1,0.228310502283105,"S"
80,"1h3e","ATP",10,470,4,0.851063829787234,"S"
81,"1hi1","ATP",10,356,1,0.280898876404494,"S"
82,"1i7l","ATP",10,425,1,0.235294117647059,"S"
83,"1ii0","ATP",10,386,1,0.259067357512953,"S"
