"repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
1,1,1,6,1e-06,-6,4,0.564625850340136
1,1,2,6,1e-06,-6,4,0.671232876712329
1,1,3,6,1e-06,-6,4,0.638888888888889
1,1,4,6,1e-06,-6,4,0.584507042253521
1,1,5,6,1e-06,-6,4,0.595744680851064
1,1,1,7,1e-06,-6,5,0.551020408163265
1,1,2,7,1e-06,-6,5,0.643835616438356
1,1,3,7,1e-06,-6,5,0.645833333333333
1,1,4,7,1e-06,-6,5,0.633802816901408
1,1,5,7,1e-06,-6,5,0.609929078014184
1,1,1,8,1e-06,-6,5,0.557823129251701
1,1,2,8,1e-06,-6,5,0.60958904109589
1,1,3,8,1e-06,-6,5,0.652777777777778
1,1,4,8,1e-06,-6,5,0.619718309859155
1,1,5,8,1e-06,-6,5,0.609929078014184
1,1,1,9,1e-06,-6,6,0.591836734693878
1,1,2,9,1e-06,-6,6,0.568493150684932
1,1,3,9,1e-06,-6,6,0.618055555555556
1,1,4,9,1e-06,-6,6,0.584507042253521
1,1,5,9,1e-06,-6,6,0.588652482269504
1,1,1,10,1e-06,-6,6,0.564625850340136
1,1,2,10,1e-06,-6,6,0.575342465753425
1,1,3,10,1e-06,-6,6,0.576388888888889
1,1,4,10,1e-06,-6,6,0.577464788732394
1,1,5,10,1e-06,-6,6,0.560283687943262
1,1,1,11,1e-06,-6,6,0.530612244897959
1,1,2,11,1e-06,-6,7,0.554794520547945
1,1,3,11,1e-06,-6,7,0.569444444444444
1,1,4,11,1e-06,-6,7,0.598591549295775
1,1,5,11,1e-06,-6,7,0.546099290780142
1,1,1,12,1e-06,-6,7,0.517006802721088
1,1,2,12,1e-06,-6,7,0.547945205479452
1,1,3,12,1e-06,-6,7,0.5625
1,1,4,12,1e-06,-6,7,0.591549295774648
1,1,5,12,1e-06,-6,7,0.517730496453901
1,1,1,13,1e-06,-6,7,0.503401360544218
1,1,2,13,1e-06,-6,7,0.547945205479452
1,1,3,13,1e-06,-6,7,0.569444444444444
1,1,4,13,1e-06,-6,7,0.577464788732394
