"model","repeat_id","outer_fold","t_end","eps","log10_eps","mean_inner_accuracy","outer_accuracy","k_use_final"
"Mahalanobis",1,1,7,1e-06,-6,0.61688425057011,0.657608695652174,5
"Mahalanobis",1,2,7,1e-06,-6,0.62939668176064,0.60655737704918,5
"Mahalanobis",1,3,8,1e-06,-6,0.623115064628744,0.6,5
"Mahalanobis",1,4,7,1e-06,-6,0.628659381377253,0.581005586592179,5
"Mahalanobis",1,5,7,1e-06,-6,0.615556640206693,0.668539325842697,5
"Mahalanobis",2,1,6,1e-06,-6,0.630238147272927,0.58695652173913,4
"Mahalanobis",2,2,7,1e-06,-6,0.604285885766309,0.639344262295082,5
"Mahalanobis",2,3,7,1e-06,-6,0.63105417151894,0.605555555555556,5
"Mahalanobis",2,4,7,1e-06,-6,0.606026846214103,0.642458100558659,5
"Mahalanobis",2,5,7,1e-06,-6,0.629955378908696,0.640449438202247,5
"Mahalanobis",3,1,7,1e-06,-6,0.633908193485535,0.673913043478261,5
"Mahalanobis",3,2,8,1e-06,-6,0.622562847626835,0.562841530054645,5
"Mahalanobis",3,3,7,1e-06,-6,0.628395956328147,0.561111111111111,5
"Mahalanobis",3,4,7,1e-06,-6,0.63141364048121,0.603351955307263,5
"Mahalanobis",3,5,7,1e-06,-6,0.616865237137195,0.662921348314607,5
"Mahalanobis",4,1,7,1e-06,-6,0.630761655027294,0.603260869565217,5
"Mahalanobis",4,2,7,1e-06,-6,0.621570722254884,0.601092896174863,5
"Mahalanobis",4,3,7,1e-06,-6,0.635294201021619,0.661111111111111,5
"Mahalanobis",4,4,6,1e-06,-6,0.609588998710527,0.603351955307263,4
"Mahalanobis",4,5,6,1e-06,-6,0.639285343915867,0.612359550561798,4
"Mahalanobis",5,1,7,1e-06,-6,0.615052203642064,0.608695652173913,5
"Mahalanobis",5,2,8,1e-06,-6,0.597616434861305,0.639344262295082,5
"Mahalanobis",5,3,7,1e-06,-6,0.629050254976112,0.577777777777778,5
"Mahalanobis",5,4,6,1e-06,-6,0.623556547404239,0.631284916201117,4
"Mahalanobis",5,5,8,1e-06,-6,0.630725226799483,0.595505617977528,5
