"model","repeat_id","outer_fold","t_end","lambda","log10_lambda","mean_inner_accuracy","outer_accuracy","k_use_final"
"MultinomialLasso",1,1,11,0.000774263682681127,-3.11111111111111,0.807133885672364,0.755434782608696,7
"MultinomialLasso",1,2,17,0.00129154966501488,-2.88888888888889,0.782394166645001,0.770491803278688,9
"MultinomialLasso",1,3,19,0.000464158883361278,-3.33333333333333,0.777820226461571,0.755555555555556,10
"MultinomialLasso",1,4,10,1e-04,-4,0.77904755474361,0.82122905027933,6
"MultinomialLasso",1,5,9,0.000774263682681127,-3.11111111111111,0.804334133388553,0.775280898876405,6
"MultinomialLasso",2,1,10,0.000774263682681127,-3.11111111111111,0.788794729697249,0.766304347826087,6
"MultinomialLasso",2,2,13,1e-04,-4,0.777976148364406,0.770491803278688,7
"MultinomialLasso",2,3,15,0.000278255940220713,-3.55555555555555,0.77775085583277,0.783333333333333,8
"MultinomialLasso",2,4,17,1e-04,-4,0.793081669173303,0.748603351955307,9
"MultinomialLasso",2,5,16,0.000464158883361278,-3.33333333333333,0.781357077594311,0.786516853932584,8
"MultinomialLasso",3,1,9,0.000774263682681127,-3.11111111111111,0.791855974782226,0.744565217391304,6
"MultinomialLasso",3,2,10,0.000464158883361278,-3.33333333333333,0.787584095604178,0.781420765027322,6
"MultinomialLasso",3,3,13,0.000774263682681127,-3.11111111111111,0.782082103251232,0.788888888888889,7
"MultinomialLasso",3,4,13,0.000774263682681127,-3.11111111111111,0.779180899970968,0.782122905027933,7
"MultinomialLasso",3,5,11,0.00129154966501488,-2.88888888888889,0.776852678457289,0.803370786516854,7
"MultinomialLasso",4,1,10,0.000774263682681127,-3.11111111111111,0.793156155337506,0.739130434782609,6
"MultinomialLasso",4,2,12,0.000464158883361278,-3.33333333333333,0.798832336201128,0.748633879781421,7
"MultinomialLasso",4,3,11,0.000464158883361278,-3.33333333333333,0.792979138279126,0.833333333333333,7
"MultinomialLasso",4,4,14,1e-04,-4,0.777908247802904,0.793296089385475,8
"MultinomialLasso",4,5,9,1e-04,-4,0.785247084301219,0.786516853932584,6
"MultinomialLasso",5,1,9,0.000774263682681127,-3.11111111111111,0.786113231600304,0.793478260869565,6
"MultinomialLasso",5,2,12,1e-04,-4,0.788986167418727,0.792349726775956,7
"MultinomialLasso",5,3,13,1e-04,-4,0.787553321419944,0.772222222222222,7
"MultinomialLasso",5,4,11,0.000278255940220713,-3.55555555555555,0.775221701707141,0.787709497206704,7
"MultinomialLasso",5,5,10,0.000278255940220713,-3.55555555555555,0.786619793658899,0.752808988764045,6
