"model","repeat_id","outer_fold","t_end","num.trees","mtry_rule","min.node.size","mean_inner_accuracy","outer_accuracy","k_use_final","mtry_final"
"RF",1,1,10,400,"floor_sqrt_p",2,0.788938540962503,0.728260869565217,6,2
"RF",1,2,9,400,"floor_sqrt_p",5,0.79080580178908,0.797814207650273,6,2
"RF",1,3,10,400,"floor_sqrt_p",7,0.797114164694141,0.777777777777778,6,2
"RF",1,4,10,400,"floor_sqrt_p",5,0.789920633553251,0.782122905027933,6,2
"RF",1,5,9,400,"floor_sqrt_p",7,0.768692703745613,0.803370786516854,6,2
"RF",2,1,10,400,"floor_sqrt_p",2,0.78462020439803,0.766304347826087,6,2
"RF",2,2,9,400,"floor_sqrt_p",5,0.786523886263676,0.792349726775956,6,2
"RF",2,3,15,400,"floor_sqrt_p",2,0.778941238246567,0.777777777777778,8,2
"RF",2,4,10,400,"floor_sqrt_p",2,0.803081553647826,0.76536312849162,6,2
"RF",2,5,11,400,"floor_sqrt_p",5,0.777094193227354,0.797752808988764,7,2
"RF",3,1,10,400,"floor_sqrt_p",2,0.794815135486833,0.777173913043478,6,2
"RF",3,2,11,400,"floor_sqrt_p",5,0.795104370598981,0.743169398907104,7,2
"RF",3,3,10,400,"floor_sqrt_p",2,0.788769669256618,0.794444444444444,6,2
"RF",3,4,11,400,"floor_sqrt_p",2,0.775797619496638,0.776536312849162,7,2
"RF",3,5,9,400,"floor_sqrt_p",2,0.782469012912661,0.792134831460674,6,2
"RF",4,1,11,400,"floor_sqrt_p",2,0.794584584065905,0.771739130434783,7,2
"RF",4,2,15,400,"floor_sqrt_p",5,0.781040988042858,0.754098360655738,8,2
"RF",4,3,9,400,"floor_sqrt_p",5,0.783505927972222,0.8,6,2
"RF",4,4,9,400,"floor_sqrt_p",5,0.773872035510359,0.76536312849162,6,2
"RF",4,5,10,400,"floor_sqrt_p",2,0.793580605931173,0.780898876404494,6,2
"RF",5,1,17,400,"floor_sqrt_p",2,0.778982191320979,0.766304347826087,9,3
"RF",5,2,9,400,"floor_sqrt_p",2,0.79466549448328,0.814207650273224,6,2
"RF",5,3,9,400,"floor_sqrt_p",2,0.793050505011533,0.772222222222222,6,2
"RF",5,4,16,400,"floor_sqrt_p",2,0.769812158899108,0.798882681564246,8,2
"RF",5,5,9,400,"floor_sqrt_p",2,0.778494606671676,0.752808988764045,6,2
