"threshold","feature_set","classifier","mean_accuracy","sd_accuracy","n_evals"
5.3,"CDPA_only","Mahalanobis",0.544781798998629,0.0345219465912399,100
12,"CDPA_only","Mahalanobis",0.402675846108329,0.0369581334703039,100
5.3,"ILR_CDPA","Mahalanobis",0.591871031835601,0.0351316112325132,100
12,"ILR_CDPA","Mahalanobis",0.406421176310365,0.0371375212690756,100
5.3,"ILR_only","Mahalanobis",0.41265093979423,0.0302846699290514,100
12,"ILR_only","Mahalanobis",0.251268381738182,0.0306871667747943,100
5.3,"CDPA_only","MultinomialLasso",0.724410619922565,0.0246744717800922,100
12,"CDPA_only","MultinomialLasso",0.655041644674925,0.0230118489480329,100
5.3,"ILR_CDPA","MultinomialLasso",0.747418101586345,0.0278569996083525,100
12,"ILR_CDPA","MultinomialLasso",0.673258441140281,0.0232305026421225,100
5.3,"ILR_only","MultinomialLasso",0.469568769125657,0.01417051854028,100
12,"ILR_only","MultinomialLasso",0.38376221477554,0.0165709924550841,100
5.3,"CDPA_only","RF",0.726986822612407,0.027085934690997,100
12,"CDPA_only","RF",0.690431461477246,0.024284224804362,100
5.3,"ILR_CDPA","RF",0.755678754235475,0.0258709821660797,100
12,"ILR_CDPA","RF",0.698012459416969,0.0255559239954214,100
5.3,"ILR_only","RF",0.488329724364899,0.0243176867608252,100
12,"ILR_only","RF",0.361524255554651,0.0287097548411091,100
