"threshold","repeat_id","fold_id","feature_set","classifier","accuracy"
5.3,1,1,"ILR_CDPA","RF",0.75
5.3,1,1,"ILR_CDPA","MultinomialLasso",0.733695652173913
5.3,1,1,"ILR_CDPA","Mahalanobis",0.510869565217391
5.3,1,1,"ILR_only","RF",0.440217391304348
5.3,1,1,"ILR_only","MultinomialLasso",0.483695652173913
5.3,1,1,"ILR_only","Mahalanobis",0.358695652173913
5.3,1,1,"CDPA_only","RF",0.722826086956522
5.3,1,1,"CDPA_only","MultinomialLasso",0.690217391304348
5.3,1,1,"CDPA_only","Mahalanobis",0.510869565217391
5.3,1,2,"ILR_CDPA","RF",0.770491803278688
5.3,1,2,"ILR_CDPA","MultinomialLasso",0.797814207650273
5.3,1,2,"ILR_CDPA","Mahalanobis",0.633879781420765
5.3,1,2,"ILR_only","RF",0.46448087431694
5.3,1,2,"ILR_only","MultinomialLasso",0.469945355191257
5.3,1,2,"ILR_only","Mahalanobis",0.415300546448087
5.3,1,2,"CDPA_only","RF",0.748633879781421
5.3,1,2,"CDPA_only","MultinomialLasso",0.759562841530055
5.3,1,2,"CDPA_only","Mahalanobis",0.595628415300546
5.3,1,3,"ILR_CDPA","RF",0.772222222222222
5.3,1,3,"ILR_CDPA","MultinomialLasso",0.744444444444444
5.3,1,3,"ILR_CDPA","Mahalanobis",0.622222222222222
5.3,1,3,"ILR_only","RF",0.516666666666667
5.3,1,3,"ILR_only","MultinomialLasso",0.466666666666667
5.3,1,3,"ILR_only","Mahalanobis",0.472222222222222
5.3,1,3,"CDPA_only","RF",0.694444444444444
5.3,1,3,"CDPA_only","MultinomialLasso",0.733333333333333
5.3,1,3,"CDPA_only","Mahalanobis",0.555555555555556
5.3,1,4,"ILR_CDPA","RF",0.793296089385475
5.3,1,4,"ILR_CDPA","MultinomialLasso",0.776536312849162
5.3,1,4,"ILR_CDPA","Mahalanobis",0.603351955307263
5.3,1,4,"ILR_only","RF",0.502793296089385
5.3,1,4,"ILR_only","MultinomialLasso",0.486033519553073
