"model","smooth_lambda_name","smooth_lambda","mean_accuracy","sd_accuracy","n_evals","mean_k","sd_k"
"Mahalanobis","1e-4",1e-04,0.573846654897919,0.0355990170253926,100,6.05,0.219042913557591
"MultinomialLasso","1e-4",1e-04,0.778066061968395,0.022751992965946,100,6.05,0.219042913557591
"RF","1e-4",1e-04,0.784844285162367,0.0274266797110182,100,6.05,0.219042913557591
"Mahalanobis","1e-3",0.001,0.573842113994392,0.0355926053214313,100,6.03,0.171446607997766
"MultinomialLasso","1e-3",0.001,0.777901500394433,0.0225012876846531,100,6.03,0.171446607997766
"RF","1e-3",0.001,0.785062995052807,0.0256349991836199,100,6.03,0.171446607997766
"Mahalanobis","1e-2",0.01,0.57295531974264,0.0350983339422967,100,6,0
"MultinomialLasso","1e-2",0.01,0.777957953313225,0.0227448098028991,100,6,0
"RF","1e-2",0.01,0.784857960860424,0.0262147314097669,100,6,0
"Mahalanobis","1e-1",0.1,0.572682086355649,0.0346514630743897,100,6,0
"MultinomialLasso","1e-1",0.1,0.778172544340748,0.0227147449342853,100,6,0
"RF","1e-1",0.1,0.784461882351574,0.02432655007038,100,6,0
