"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
1,1,"RF",10,"1e-4",1e-04,0.760869565217391,6
1,1,"MultinomialLasso",10,"1e-4",1e-04,0.760869565217391,6
1,1,"Mahalanobis",10,"1e-4",1e-04,0.58695652173913,6
1,1,"RF",10,"1e-3",0.001,0.760869565217391,6
1,1,"MultinomialLasso",10,"1e-3",0.001,0.760869565217391,6
1,1,"Mahalanobis",10,"1e-3",0.001,0.58695652173913,6
1,1,"RF",10,"1e-2",0.01,0.760869565217391,6
1,1,"MultinomialLasso",10,"1e-2",0.01,0.760869565217391,6
1,1,"Mahalanobis",10,"1e-2",0.01,0.58695652173913,6
1,1,"RF",10,"1e-1",0.1,0.755434782608696,6
1,1,"MultinomialLasso",10,"1e-1",0.1,0.760869565217391,6
1,1,"Mahalanobis",10,"1e-1",0.1,0.581521739130435,6
1,2,"RF",10,"1e-4",1e-04,0.781420765027322,6
1,2,"MultinomialLasso",10,"1e-4",1e-04,0.797814207650273,6
1,2,"Mahalanobis",10,"1e-4",1e-04,0.557377049180328,6
1,2,"RF",10,"1e-3",0.001,0.781420765027322,6
1,2,"MultinomialLasso",10,"1e-3",0.001,0.797814207650273,6
1,2,"Mahalanobis",10,"1e-3",0.001,0.557377049180328,6
1,2,"RF",10,"1e-2",0.01,0.792349726775956,6
1,2,"MultinomialLasso",10,"1e-2",0.01,0.797814207650273,6
1,2,"Mahalanobis",10,"1e-2",0.01,0.557377049180328,6
1,2,"RF",10,"1e-1",0.1,0.792349726775956,6
1,2,"MultinomialLasso",10,"1e-1",0.1,0.797814207650273,6
1,2,"Mahalanobis",10,"1e-1",0.1,0.557377049180328,6
1,3,"RF",10,"1e-4",1e-04,0.822222222222222,7
1,3,"MultinomialLasso",10,"1e-4",1e-04,0.777777777777778,7
1,3,"Mahalanobis",10,"1e-4",1e-04,0.638888888888889,7
1,3,"RF",10,"1e-3",0.001,0.822222222222222,7
1,3,"MultinomialLasso",10,"1e-3",0.001,0.777777777777778,7
1,3,"Mahalanobis",10,"1e-3",0.001,0.638888888888889,7
1,3,"RF",10,"1e-2",0.01,0.8,6
1,3,"MultinomialLasso",10,"1e-2",0.01,0.788888888888889,6
1,3,"Mahalanobis",10,"1e-2",0.01,0.583333333333333,6
1,3,"RF",10,"1e-1",0.1,0.8,6
1,3,"MultinomialLasso",10,"1e-1",0.1,0.788888888888889,6
1,3,"Mahalanobis",10,"1e-1",0.1,0.583333333333333,6
1,4,"RF",10,"1e-4",1e-04,0.748603351955307,6
1,4,"MultinomialLasso",10,"1e-4",1e-04,0.748603351955307,6
1,4,"Mahalanobis",10,"1e-4",1e-04,0.541899441340782,6
1,4,"RF",10,"1e-3",0.001,0.748603351955307,6
1,4,"MultinomialLasso",10,"1e-3",0.001,0.748603351955307,6
1,4,"Mahalanobis",10,"1e-3",0.001,0.541899441340782,6
1,4,"RF",10,"1e-2",0.01,0.743016759776536,6
1,4,"MultinomialLasso",10,"1e-2",0.01,0.743016759776536,6
1,4,"Mahalanobis",10,"1e-2",0.01,0.541899441340782,6
1,4,"RF",10,"1e-1",0.1,0.748603351955307,6
1,4,"MultinomialLasso",10,"1e-1",0.1,0.743016759776536,6
1,4,"Mahalanobis",10,"1e-1",0.1,0.541899441340782,6
1,5,"RF",10,"1e-4",1e-04,0.814606741573034,6
1,5,"MultinomialLasso",10,"1e-4",1e-04,0.764044943820225,6
1,5,"Mahalanobis",10,"1e-4",1e-04,0.573033707865168,6
1,5,"RF",10,"1e-3",0.001,0.803370786516854,6
1,5,"MultinomialLasso",10,"1e-3",0.001,0.764044943820225,6
1,5,"Mahalanobis",10,"1e-3",0.001,0.573033707865168,6
1,5,"RF",10,"1e-2",0.01,0.820224719101124,6
1,5,"MultinomialLasso",10,"1e-2",0.01,0.764044943820225,6
1,5,"Mahalanobis",10,"1e-2",0.01,0.573033707865168,6
1,5,"RF",10,"1e-1",0.1,0.814606741573034,6
1,5,"MultinomialLasso",10,"1e-1",0.1,0.764044943820225,6
1,5,"Mahalanobis",10,"1e-1",0.1,0.584269662921348,6
2,1,"RF",10,"1e-4",1e-04,0.760869565217391,6
2,1,"MultinomialLasso",10,"1e-4",1e-04,0.722826086956522,6
2,1,"Mahalanobis",10,"1e-4",1e-04,0.565217391304348,6
2,1,"RF",10,"1e-3",0.001,0.760869565217391,6
2,1,"MultinomialLasso",10,"1e-3",0.001,0.722826086956522,6
2,1,"Mahalanobis",10,"1e-3",0.001,0.565217391304348,6
2,1,"RF",10,"1e-2",0.01,0.766304347826087,6
2,1,"MultinomialLasso",10,"1e-2",0.01,0.722826086956522,6
2,1,"Mahalanobis",10,"1e-2",0.01,0.565217391304348,6
2,1,"RF",10,"1e-1",0.1,0.771739130434783,6
2,1,"MultinomialLasso",10,"1e-1",0.1,0.722826086956522,6
2,1,"Mahalanobis",10,"1e-1",0.1,0.565217391304348,6
2,2,"RF",10,"1e-4",1e-04,0.80327868852459,6
2,2,"MultinomialLasso",10,"1e-4",1e-04,0.80327868852459,6
2,2,"Mahalanobis",10,"1e-4",1e-04,0.557377049180328,6
2,2,"RF",10,"1e-3",0.001,0.808743169398907,6
2,2,"MultinomialLasso",10,"1e-3",0.001,0.80327868852459,6
2,2,"Mahalanobis",10,"1e-3",0.001,0.557377049180328,6
2,2,"RF",10,"1e-2",0.01,0.797814207650273,6
2,2,"MultinomialLasso",10,"1e-2",0.01,0.80327868852459,6
