"site_index","site_id","label","threshold","element","count","total_atoms","proportion"
1,"13pkA","NUC",10,"C",280,448,0.625
1,"13pkA","NUC",10,"N",82,448,0.183035714285714
1,"13pkA","NUC",10,"O",81,448,0.180803571428571
1,"13pkA","NUC",10,"P",0,448,0
1,"13pkA","NUC",10,"S",5,448,0.0111607142857143
2,"1a0iA","NUC",10,"C",238,378,0.62962962962963
2,"1a0iA","NUC",10,"N",68,378,0.17989417989418
2,"1a0iA","NUC",10,"O",71,378,0.187830687830688
2,"1a0iA","NUC",10,"P",0,378,0
2,"1a0iA","NUC",10,"S",1,378,0.00264550264550265
3,"1a49C","NUC",10,"C",289,480,0.602083333333333
3,"1a49C","NUC",10,"N",87,480,0.18125
3,"1a49C","NUC",10,"O",101,480,0.210416666666667
3,"1a49C","NUC",10,"P",0,480,0
3,"1a49C","NUC",10,"S",3,480,0.00625
4,"1a6eA","NUC",10,"C",296,486,0.609053497942387
4,"1a6eA","NUC",10,"N",85,486,0.174897119341564
4,"1a6eA","NUC",10,"O",104,486,0.213991769547325
4,"1a6eA","NUC",10,"P",0,486,0
4,"1a6eA","NUC",10,"S",1,486,0.00205761316872428
5,"1a6eB","NUC",10,"C",306,500,0.612
5,"1a6eB","NUC",10,"N",90,500,0.18
5,"1a6eB","NUC",10,"O",103,500,0.206
5,"1a6eB","NUC",10,"P",0,500,0
5,"1a6eB","NUC",10,"S",1,500,0.002
6,"1a82A","NUC",10,"C",244,392,0.622448979591837
6,"1a82A","NUC",10,"N",66,392,0.168367346938776
6,"1a82A","NUC",10,"O",81,392,0.206632653061224
6,"1a82A","NUC",10,"P",0,392,0
6,"1a82A","NUC",10,"S",1,392,0.00255102040816327
7,"1a8rC","NUC",10,"C",135,224,0.602678571428571
7,"1a8rC","NUC",10,"N",46,224,0.205357142857143
7,"1a8rC","NUC",10,"O",41,224,0.183035714285714
7,"1a8rC","NUC",10,"P",0,224,0
7,"1a8rC","NUC",10,"S",2,224,0.00892857142857143
8,"1agrB","NUC",10,"C",277,459,0.603485838779956
8,"1agrB","NUC",10,"N",84,459,0.183006535947712
8,"1agrB","NUC",10,"O",96,459,0.209150326797386
8,"1agrB","NUC",10,"P",0,459,0
8,"1agrB","NUC",10,"S",2,459,0.00435729847494553
9,"1aszC","NUC",10,"C",278,441,0.630385487528345
9,"1aszC","NUC",10,"N",78,441,0.17687074829932
9,"1aszC","NUC",10,"O",82,441,0.1859410430839
9,"1aszC","NUC",10,"P",0,441,0
9,"1aszC","NUC",10,"S",3,441,0.00680272108843537
10,"1b0uA","NUC",10,"C",156,253,0.616600790513834
10,"1b0uA","NUC",10,"N",49,253,0.193675889328063
10,"1b0uA","NUC",10,"O",47,253,0.185770750988142
10,"1b0uA","NUC",10,"P",0,253,0
10,"1b0uA","NUC",10,"S",1,253,0.00395256916996047
11,"1b4sA","NUC",10,"C",184,295,0.623728813559322
11,"1b4sA","NUC",10,"N",59,295,0.2
11,"1b4sA","NUC",10,"O",52,295,0.176271186440678
11,"1b4sA","NUC",10,"P",0,295,0
11,"1b4sA","NUC",10,"S",0,295,0
12,"1b62A","NUC",10,"C",256,414,0.618357487922705
12,"1b62A","NUC",10,"N",72,414,0.173913043478261
12,"1b62A","NUC",10,"O",85,414,0.205314009661836
12,"1b62A","NUC",10,"P",0,414,0
12,"1b62A","NUC",10,"S",1,414,0.00241545893719807
13,"1b6sB","NUC",10,"C",250,401,0.623441396508728
13,"1b6sB","NUC",10,"N",77,401,0.192019950124688
13,"1b6sB","NUC",10,"O",74,401,0.184538653366584
13,"1b6sB","NUC",10,"P",0,401,0
13,"1b6sB","NUC",10,"S",0,401,0
14,"1b76A","NUC",10,"C",287,451,0.636363636363636
14,"1b76A","NUC",10,"N",82,451,0.181818181818182
14,"1b76A","NUC",10,"O",80,451,0.177383592017738
