"label","element","n_sites","n_sites_present","pct_sites_present","mean_count_all_sites","mean_count_among_present","min","q1","median","q3","max","min_among_present","q1_among_present","median_among_present","q3_among_present","max_among_present"
"CONTROL","C",1863,1863,100,238.58615136876,238.58615136876,67,188,225,275,690,67,188,225,275,690
"CONTROL","N",1863,1863,100,65.280193236715,65.280193236715,17,52,63,74,173,17,52,63,74,173
"CONTROL","O",1863,1863,100,68.5587761674718,68.5587761674718,14,55,66,78,188,14,55,66,78,188
"CONTROL","P",1863,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"CONTROL","S",1863,1473,79.0660225442834,2.07461084272678,2.62389680923286,0,1,2,3,11,1,1,2,4,11
"HEME","C",592,592,100,312.177364864865,312.177364864865,76,271.5,311.5,373.25,465,76,271.5,311.5,373.25,465
"HEME","N",592,592,100,83.0962837837838,83.0962837837838,28,72,82,98,128,28,72,82,98,128
"HEME","O",592,592,100,81.6317567567568,81.6317567567568,31,69,80,97,129,31,69,80,97,129
"HEME","P",592,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"HEME","S",592,557,94.0878378378378,3.42060810810811,3.63554757630162,0,2,3,5,17,1,2,3,5,17
"NUC","C",1547,1547,100,236.325791855204,236.325791855204,88,208,237,269,364,88,208,237,269,364
"NUC","N",1547,1547,100,66.9715578539108,66.9715578539108,24,59,67,76,111,24,59,67,76,111
"NUC","O",1547,1547,100,70.9864253393665,70.9864253393665,29,63,72,80,111,29,63,72,80,111
"NUC","P",1547,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"NUC","S",1547,1210,78.2159017453135,1.69230769230769,2.16363636363636,0,1,2,2,8,1,1,2,3,8
