"site_index","site_id","label","threshold","total_atoms","n_non_CON","pct_non_CON","elements_non_CON_present"
1,"13pkA","NUC",10,448,5,1.11607142857143,"S"
2,"1a0iA","NUC",10,378,1,0.264550264550265,"S"
3,"1a49C","NUC",10,480,3,0.625,"S"
4,"1a6eA","NUC",10,486,1,0.205761316872428,"S"
5,"1a6eB","NUC",10,500,1,0.2,"S"
6,"1a82A","NUC",10,392,1,0.255102040816327,"S"
7,"1a8rC","NUC",10,224,2,0.892857142857143,"S"
8,"1agrB","NUC",10,459,2,0.435729847494553,"S"
9,"1aszC","NUC",10,441,3,0.680272108843537,"S"
10,"1b0uA","NUC",10,253,1,0.395256916996047,"S"
11,"1b4sA","NUC",10,295,0,0,""
12,"1b62A","NUC",10,414,1,0.241545893719807,"S"
13,"1b6sB","NUC",10,401,0,0,""
14,"1b76A","NUC",10,451,2,0.443458980044346,"S"
15,"1b8aB","NUC",10,435,0,0,""
16,"1bcpE","NUC",10,193,3,1.55440414507772,"S"
17,"1bi9D","NUC",10,369,2,0.5420054200542,"S"
18,"1bofA","NUC",10,419,2,0.477326968973747,"S"
19,"1br1A","NUC",10,432,2,0.462962962962963,"S"
20,"1br2A","NUC",10,452,2,0.442477876106195,"S"
21,"1byuB","NUC",10,307,2,0.651465798045603,"S"
22,"1c4kA","NUC",10,335,1,0.298507462686567,"S"
23,"1ckmA","NUC",10,434,3,0.691244239631336,"S"
24,"1clqC","NUC",10,363,2,0.550964187327824,"S"
25,"1cm8A","NUC",10,378,3,0.793650793650794,"S"
26,"1cnfA","NUC",10,302,3,0.993377483443709,"S"
27,"1cozA","NUC",10,384,1,0.260416666666667,"S"
28,"1csnA","NUC",10,423,1,0.236406619385343,"S"
29,"1cz7D","NUC",10,353,1,0.28328611898017,"S"
30,"1d2eA","NUC",10,368,2,0.543478260869565,"S"
31,"1d5cA","NUC",10,377,0,0,""
32,"1dawA","NUC",10,457,2,0.437636761487965,"S"
33,"1dflA","NUC",10,417,1,0.239808153477218,"S"
34,"1dj2A","NUC",10,454,0,0,""
35,"1dj3B","NUC",10,461,1,0.216919739696312,"S"
36,"1djnB","NUC",10,447,1,0.223713646532438,"S"
37,"1dv2B","NUC",10,435,2,0.459770114942529,"S"
38,"1dy3A","NUC",10,385,3,0.779220779220779,"S"
39,"1e0jA","NUC",10,391,3,0.767263427109974,"S"
40,"1e19A","NUC",10,358,1,0.279329608938547,"S"
41,"1e22A","NUC",10,435,3,0.689655172413793,"S"
42,"1e2fA","NUC",10,334,0,0,""
43,"1e8xA","NUC",10,413,3,0.726392251815981,"S"
44,"1e94F","NUC",10,436,1,0.229357798165138,"S"
45,"1ei1B","NUC",10,509,2,0.392927308447937,"S"
46,"1ej1B","NUC",10,322,1,0.31055900621118,"S"
47,"1esqC","NUC",10,368,0,0,""
48,"1eyzA","NUC",10,441,2,0.453514739229025,"S"
49,"1f1hA","NUC",10,404,2,0.495049504950495,"S"
50,"1f6bB","NUC",10,362,3,0.828729281767956,"S"
51,"1f7qA","NUC",10,213,1,0.469483568075117,"S"
52,"1f9aA","NUC",10,397,1,0.251889168765743,"S"
53,"1finA","NUC",10,380,0,0,""
54,"1fnnA","NUC",10,441,0,0,""
55,"1fp6A","NUC",10,371,1,0.269541778975741,"S"
56,"1frwA","NUC",10,346,3,0.867052023121387,"S"
57,"1fwkA","NUC",10,429,1,0.233100233100233,"S"
58,"1g2vA","NUC",10,328,3,0.914634146341463,"S"
59,"1g3iV","NUC",10,426,1,0.234741784037559,"S"
60,"1g3qA","NUC",10,382,3,0.785340314136126,"S"
61,"1g41A","NUC",10,402,1,0.248756218905473,"S"
62,"1g4aA","NUC",10,392,1,0.255102040816327,"S"
63,"1g6oB","NUC",10,394,0,0,""
64,"1gc5A","NUC",10,401,1,0.249376558603491,"S"
65,"1gkzA","NUC",10,414,2,0.483091787439614,"S"
66,"1gl7B","NUC",10,200,0,0,""
67,"1glfA","NUC",10,469,3,0.639658848614073,"S"
68,"1gn8A","NUC",10,438,1,0.228310502283105,"S"
69,"1gq9A","NUC",10,337,1,0.29673590504451,"S"
70,"1gqyB","NUC",10,468,2,0.427350427350427,"S"
71,"1grnA","NUC",10,358,3,0.837988826815642,"S"
72,"1gs5A","NUC",10,427,3,0.702576112412178,"S"
73,"1gsaA","NUC",10,462,2,0.432900432900433,"S"
74,"1gzfC","NUC",10,328,0,0,""
75,"1h3eA","NUC",10,470,4,0.851063829787234,"S"
76,"1h4qA","NUC",10,453,0,0,""
77,"1h65B","NUC",10,345,1,0.289855072463768,"S"
78,"1h79A","NUC",10,352,4,1.13636363636364,"S"
79,"1h7uA","NUC",10,352,2,0.568181818181818,"S"
80,"1hi5A","NUC",10,308,5,1.62337662337662,"S"
81,"1honA","NUC",10,395,1,0.253164556962025,"S"
82,"1hp1A","NUC",10,224,2,0.892857142857143,"S"
83,"1htwA","NUC",10,309,1,0.323624595469256,"S"
84,"1hurA","NUC",10,298,2,0.671140939597315,"S"
85,"1huxA","NUC",10,389,1,0.25706940874036,"S"
86,"1hwkD","NUC",10,284,6,2.11267605633803,"S"
87,"1i52A","NUC",10,357,1,0.280112044817927,"S"
88,"1i7lB","NUC",10,431,2,0.464037122969838,"S"
89,"1ia9B","NUC",10,392,3,0.76530612244898,"S"
90,"1id0A","NUC",10,379,3,0.79155672823219,"S"
91,"1ii0B","NUC",10,435,2,0.459770114942529,"S"
92,"1in5A","NUC",10,421,0,0,""
93,"1iowA","NUC",10,464,3,0.646551724137931,"S"
94,"1iqpA","NUC",10,401,1,0.249376558603491,"S"
95,"1isgA","NUC",10,386,1,0.259067357512953,"S"
96,"1ixsB","NUC",10,405,1,0.246913580246914,"S"
97,"1j09A","NUC",10,368,2,0.543478260869565,"S"
98,"1j1bB","NUC",10,417,2,0.479616306954436,"S"
99,"1j1zB","NUC",10,451,2,0.443458980044346,"S"
100,"1j7lA","NUC",10,409,3,0.733496332518337,"S"
101,"1jcgA","NUC",10,489,2,0.408997955010225,"S"
102,"1jedB","NUC",10,467,4,0.856531049250535,"S"
103,"1ji0A","NUC",10,258,0,0,""
104,"1jjvA","NUC",10,303,1,0.33003300330033,"S"
105,"1jlrB","NUC",10,261,3,1.14942528735632,"S"
106,"1jqhA","NUC",10,384,4,1.04166666666667,"S"
107,"1ju9A","NUC",10,394,2,0.50761421319797,"S"
108,"1jwaA","NUC",10,382,2,0.523560209424084,"S"
109,"1jwhA","NUC",10,400,1,0.25,"S"
110,"1k3cA","NUC",10,436,1,0.229357798165138,"S"
111,"1kaoA","NUC",10,344,1,0.290697674418605,"S"
112,"1kf0A","NUC",10,333,4,1.2012012012012,"S"
113,"1kfdA","NUC",10,304,0,0,""
114,"1kk3A","NUC",10,294,1,0.340136054421769,"S"
115,"1kmnB","NUC",10,447,3,0.671140939597315,"S"
116,"1kmnC","NUC",10,436,3,0.688073394495413,"S"
117,"1ko5A","NUC",10,320,2,0.625,"S"
118,"1kp2A","NUC",10,457,3,0.656455142231947,"S"
119,"1ksfA","NUC",10,390,2,0.512820512820513,"S"
120,"1kv3F","NUC",10,263,1,0.380228136882129,"S"
121,"1kvkA","NUC",10,396,2,0.505050505050505,"S"
122,"1kyqA","NUC",10,277,1,0.36101083032491,"S"
123,"1l0oA","NUC",10,413,2,0.484261501210654,"S"
124,"1lkxC","NUC",10,413,2,0.484261501210654,"S"
125,"1looA","NUC",10,458,2,0.436681222707424,"S"
126,"1m74A","NUC",10,362,4,1.10497237569061,"S"
127,"1m7gB","NUC",10,313,0,0,""
128,"1m83A","NUC",10,487,3,0.616016427104723,"S"
129,"1mabB","NUC",10,353,2,0.56657223796034,"S"
130,"1miyA","NUC",10,386,2,0.518134715025907,"S"
131,"1mjhB","NUC",10,425,2,0.470588235294118,"S"
132,"1mkjA","NUC",10,341,2,0.586510263929619,"S"
133,"1mozB","NUC",10,309,0,0,""
134,"1mx0C","NUC",10,481,0,0,""
135,"1n06B","NUC",10,325,2,0.615384615384615,"S"
136,"1n6lA","NUC",10,410,1,0.24390243902439,"S"
137,"1nb6A","NUC",10,390,4,1.02564102564103,"S"
138,"1nksF","NUC",10,300,0,0,""
