"task","model","repeat_id","outer_fold","t_end","lambda","log10_lambda","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final"
"HEME_vs_CONTROL","BinomialLasso",1,1,11,0.000774263682681127,-3.11111111111111,0.910854494469544,0.90650406504065,0.854368932038835,0.739495798319328,0.959785522788204,0.936558001216572,88,15,358,31,9
"HEME_vs_CONTROL","BinomialLasso",1,2,11,0.00129154966501488,-2.88888888888889,0.908824063976736,0.91260162601626,0.858490566037736,0.764705882352941,0.959785522788204,0.947529682114132,91,15,358,28,9
"HEME_vs_CONTROL","BinomialLasso",1,3,11,1e-04,-4,0.911904761904762,0.916496945010183,0.866666666666667,0.771186440677966,0.962466487935657,0.960830644794838,91,14,359,27,9
"HEME_vs_CONTROL","BinomialLasso",1,4,11,0.00599484250318941,-2.22222222222222,0.911946067999796,0.9,0.810810810810811,0.76271186440678,0.943548387096774,0.939994532531438,90,21,351,28,9
"HEME_vs_CONTROL","BinomialLasso",1,5,11,0.00599484250318941,-2.22222222222222,0.907378910800186,0.908163265306122,0.823008849557522,0.788135593220339,0.946236559139785,0.934549845088391,93,20,352,25,9
"HEME_vs_CONTROL","BinomialLasso",2,1,11,0.00359381366380463,-2.44444444444444,0.910855792698759,0.908536585365854,0.862745098039216,0.739495798319328,0.962466487935657,0.929078333746367,88,14,359,31,9
"HEME_vs_CONTROL","BinomialLasso",2,2,11,0.00599484250318941,-2.22222222222222,0.912894012566859,0.894308943089431,0.79646017699115,0.756302521008403,0.938337801608579,0.933764390474689,90,23,350,29,9
"HEME_vs_CONTROL","BinomialLasso",2,3,11,0.000774263682681127,-3.11111111111111,0.907341486212806,0.914460285132383,0.833333333333333,0.805084745762712,0.949061662198391,0.960080883355296,95,19,354,23,9
"HEME_vs_CONTROL","BinomialLasso",2,4,12,1e-04,-4,0.904325455915694,0.924489795918367,0.878504672897196,0.796610169491525,0.96505376344086,0.95648806269364,94,13,359,24,10
"HEME_vs_CONTROL","BinomialLasso",2,5,12,0.000464158883361278,-3.33333333333333,0.90738019584941,0.902040816326531,0.836538461538462,0.73728813559322,0.954301075268817,0.940199562602515,87,17,355,31,10
"HEME_vs_CONTROL","BinomialLasso",3,1,14,1e-04,-4,0.90678194942099,0.904471544715447,0.81578947368421,0.781512605042017,0.943699731903485,0.947281861806385,93,21,352,26,11
"HEME_vs_CONTROL","BinomialLasso",3,2,11,0.00599484250318941,-2.22222222222222,0.916445967700057,0.896341463414634,0.826923076923077,0.722689075630252,0.951742627345844,0.934260031090184,86,18,355,33,9
"HEME_vs_CONTROL","BinomialLasso",3,3,11,0.00215443469003188,-2.66666666666667,0.913953367606585,0.89816700610998,0.788135593220339,0.788135593220339,0.932975871313673,0.947244058708593,93,25,348,25,9
"HEME_vs_CONTROL","BinomialLasso",3,4,11,0.000774263682681127,-3.11111111111111,0.903826883177032,0.924489795918367,0.900990099009901,0.771186440677966,0.973118279569892,0.962388372516858,91,10,362,27,9
"HEME_vs_CONTROL","BinomialLasso",3,5,11,0.00359381366380463,-2.44444444444444,0.909409328113002,0.916326530612245,0.87378640776699,0.76271186440678,0.96505376344086,0.923501002369236,90,13,359,28,9
"HEME_vs_CONTROL","BinomialLasso",4,1,11,0.00129154966501488,-2.88888888888889,0.91136080386353,0.908536585365854,0.842592592592593,0.764705882352941,0.954423592493298,0.944736071372249,91,17,356,28,9
"HEME_vs_CONTROL","BinomialLasso",4,2,11,1e-04,-4,0.909832788077063,0.91869918699187,0.869158878504673,0.781512605042017,0.962466487935657,0.943406853357965,93,14,359,26,9
"HEME_vs_CONTROL","BinomialLasso",4,3,12,0.00215443469003188,-2.66666666666667,0.907841304460716,0.904276985743381,0.808695652173913,0.788135593220339,0.941018766756032,0.94365429181624,93,22,351,25,10
"HEME_vs_CONTROL","BinomialLasso",4,4,11,1e-04,-4,0.912980776454419,0.902040816326531,0.818181818181818,0.76271186440678,0.946236559139785,0.938103699653727,90,20,352,28,9
"HEME_vs_CONTROL","BinomialLasso",4,5,11,1e-04,-4,0.908903045079,0.916326530612245,0.87378640776699,0.76271186440678,0.96505376344086,0.948719701111719,90,13,359,28,9
"HEME_vs_CONTROL","BinomialLasso",5,1,11,0.000774263682681127,-3.11111111111111,0.911878797320455,0.908536585365854,0.824561403508772,0.789915966386555,0.946380697050938,0.946222993218735,94,20,353,25,9
"HEME_vs_CONTROL","BinomialLasso",5,2,12,0.000774263682681127,-3.11111111111111,0.906779352962559,0.910569105691057,0.850467289719626,0.764705882352941,0.957104557640751,0.9300020276207,91,16,357,28,10
"HEME_vs_CONTROL","BinomialLasso",5,3,11,0.00359381366380463,-2.44444444444444,0.911398452510775,0.89816700610998,0.820754716981132,0.73728813559322,0.949061662198391,0.951492706865997,87,19,354,31,9
"HEME_vs_CONTROL","BinomialLasso",5,4,11,0.000774263682681127,-3.11111111111111,0.907376281391776,0.924489795918367,0.893203883495146,0.779661016949153,0.970430107526882,0.951612903225806,92,11,361,26,9
"HEME_vs_CONTROL","BinomialLasso",5,5,11,0.00599484250318941,-2.22222222222222,0.910915359672757,0.912244897959184,0.857142857142857,0.76271186440678,0.959677419354839,0.945256971022417,90,15,357,28,9
