"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,1,1,6,1e-06,-6,5,0.89058524173028
"HEME_vs_CONTROL",1,1,2,6,1e-06,-6,5,0.885496183206107
"HEME_vs_CONTROL",1,1,3,6,1e-06,-6,5,0.877862595419847
"HEME_vs_CONTROL",1,1,4,6,1e-06,-6,5,0.89030612244898
"HEME_vs_CONTROL",1,1,5,6,1e-06,-6,6,0.887755102040816
"HEME_vs_CONTROL",1,1,1,7,1e-06,-6,7,0.903307888040712
"HEME_vs_CONTROL",1,1,2,7,1e-06,-6,7,0.898218829516539
"HEME_vs_CONTROL",1,1,3,7,1e-06,-6,6,0.865139949109415
"HEME_vs_CONTROL",1,1,4,7,1e-06,-6,6,0.908163265306122
"HEME_vs_CONTROL",1,1,5,7,1e-06,-6,7,0.872448979591837
"HEME_vs_CONTROL",1,1,1,8,1e-06,-6,7,0.885496183206107
"HEME_vs_CONTROL",1,1,2,8,1e-06,-6,7,0.895674300254453
"HEME_vs_CONTROL",1,1,3,8,1e-06,-6,7,0.862595419847328
"HEME_vs_CONTROL",1,1,4,8,1e-06,-6,7,0.897959183673469
"HEME_vs_CONTROL",1,1,5,8,1e-06,-6,8,0.869897959183674
"HEME_vs_CONTROL",1,1,1,9,1e-06,-6,8,0.903307888040712
"HEME_vs_CONTROL",1,1,2,9,1e-06,-6,8,0.89058524173028
"HEME_vs_CONTROL",1,1,3,9,1e-06,-6,8,0.885496183206107
"HEME_vs_CONTROL",1,1,4,9,1e-06,-6,8,0.903061224489796
"HEME_vs_CONTROL",1,1,5,9,1e-06,-6,8,0.880102040816326
"HEME_vs_CONTROL",1,1,1,10,1e-06,-6,9,0.898218829516539
"HEME_vs_CONTROL",1,1,2,10,1e-06,-6,9,0.903307888040712
"HEME_vs_CONTROL",1,1,3,10,1e-06,-6,8,0.877862595419847
"HEME_vs_CONTROL",1,1,4,10,1e-06,-6,8,0.897959183673469
"HEME_vs_CONTROL",1,1,5,10,1e-06,-6,9,0.877551020408163
"HEME_vs_CONTROL",1,1,1,11,1e-06,-6,9,0.903307888040712
"HEME_vs_CONTROL",1,1,2,11,1e-06,-6,9,0.908396946564885
"HEME_vs_CONTROL",1,1,3,11,1e-06,-6,9,0.888040712468193
"HEME_vs_CONTROL",1,1,4,11,1e-06,-6,9,0.910714285714286
"HEME_vs_CONTROL",1,1,5,11,1e-06,-6,10,0.892857142857143
"HEME_vs_CONTROL",1,1,1,12,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,1,2,12,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,1,3,12,1e-06,-6,9,0.895674300254453
"HEME_vs_CONTROL",1,1,4,12,1e-06,-6,9,0.903061224489796
"HEME_vs_CONTROL",1,1,5,12,1e-06,-6,10,0.877551020408163
"HEME_vs_CONTROL",1,1,1,13,1e-06,-6,10,0.908396946564885
"HEME_vs_CONTROL",1,1,2,13,1e-06,-6,10,0.900763358778626
"HEME_vs_CONTROL",1,1,3,13,1e-06,-6,10,0.893129770992366
"HEME_vs_CONTROL",1,1,4,13,1e-06,-6,10,0.895408163265306
"HEME_vs_CONTROL",1,1,5,13,1e-06,-6,11,0.875
"HEME_vs_CONTROL",1,1,1,14,1e-06,-6,11,0.900763358778626
