"task","model","repeat_id","outer_fold","t_end","eps","log10_eps","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final"
"HEME_vs_CONTROL","Mahalanobis",1,1,11,1e-06,-6,0.900663395129044,0.902439024390244,0.762962962962963,0.865546218487395,0.914209115281501,0.784982089350486,103,32,341,16,9
"HEME_vs_CONTROL","Mahalanobis",1,2,11,1e-06,-6,0.897620345848263,0.882113821138211,0.710344827586207,0.865546218487395,0.88739946380697,0.809741591006376,103,42,331,16,9
"HEME_vs_CONTROL","Mahalanobis",1,3,11,1e-06,-6,0.896636288103027,0.910386965376782,0.78030303030303,0.872881355932203,0.92225201072386,0.836756486572454,103,29,344,15,9
"HEME_vs_CONTROL","Mahalanobis",1,4,12,1e-06,-6,0.897189050378938,0.891836734693878,0.733812949640288,0.864406779661017,0.900537634408602,0.758383451795152,102,37,335,16,10
"HEME_vs_CONTROL","Mahalanobis",1,5,12,1e-06,-6,0.894155088702664,0.895918367346939,0.75187969924812,0.847457627118644,0.911290322580645,0.737698195735375,100,33,339,18,10
"HEME_vs_CONTROL","Mahalanobis",2,1,7,1e-06,-6,0.901187879732046,0.871951219512195,0.691780821917808,0.848739495798319,0.879356568364611,0.887129114380337,101,45,328,18,7
"HEME_vs_CONTROL","Mahalanobis",2,2,11,1e-06,-6,0.899642986965779,0.888211382113821,0.719178082191781,0.88235294117647,0.890080428954424,0.79575100817807,105,41,332,14,9
"HEME_vs_CONTROL","Mahalanobis",2,3,12,1e-06,-6,0.896641481019889,0.904276985743381,0.755395683453237,0.889830508474576,0.908847184986595,0.776502930885627,105,34,339,13,10
"HEME_vs_CONTROL","Mahalanobis",2,4,11,1e-06,-6,0.899233800933091,0.902040816326531,0.75735294117647,0.872881355932203,0.911290322580645,0.826134499726627,103,33,339,15,9
"HEME_vs_CONTROL","Mahalanobis",2,5,12,1e-06,-6,0.892637452159924,0.906122448979592,0.78125,0.847457627118644,0.924731182795699,0.760137597958812,100,28,344,18,10
"HEME_vs_CONTROL","Mahalanobis",3,1,13,1e-06,-6,0.897600872410033,0.882113821138211,0.707482993197279,0.873949579831933,0.884718498659517,0.752765449343276,104,43,330,15,10
"HEME_vs_CONTROL","Mahalanobis",3,2,6,1e-06,-6,0.900133717609181,0.890243902439024,0.740740740740741,0.840336134453782,0.906166219839142,0.850406650595895,100,35,338,19,6
"HEME_vs_CONTROL","Mahalanobis",3,3,11,1e-06,-6,0.902745754790466,0.883910386965377,0.704697986577181,0.889830508474576,0.882037533512064,0.80397146362521,105,44,329,13,9
"HEME_vs_CONTROL","Mahalanobis",3,4,11,1e-06,-6,0.890600497571059,0.926530612244898,0.8203125,0.889830508474576,0.938172043010753,0.838140149444141,105,23,349,13,9
"HEME_vs_CONTROL","Mahalanobis",3,5,12,1e-06,-6,0.902296284112126,0.897959183673469,0.765625,0.830508474576271,0.919354838709677,0.769705667942409,98,30,342,20,9
"HEME_vs_CONTROL","Mahalanobis",4,1,7,1e-06,-6,0.897599574180817,0.867886178861789,0.68,0.857142857142857,0.871313672922252,0.858719895464888,102,48,325,17,7
"HEME_vs_CONTROL","Mahalanobis",4,2,6,1e-06,-6,0.89812665524225,0.894308943089431,0.73758865248227,0.873949579831933,0.900804289544236,0.868520062180368,104,37,336,15,6
"HEME_vs_CONTROL","Mahalanobis",4,3,12,1e-06,-6,0.896642779249104,0.89816700610998,0.746376811594203,0.872881355932203,0.906166219839142,0.75448720861544,103,35,338,15,10
"HEME_vs_CONTROL","Mahalanobis",4,4,12,1e-06,-6,0.902801328226877,0.881632653061225,0.711267605633803,0.85593220338983,0.889784946236559,0.765035538545653,101,41,331,17,10
"HEME_vs_CONTROL","Mahalanobis",4,5,12,1e-06,-6,0.893129481032542,0.908163265306122,0.782945736434108,0.85593220338983,0.924731182795699,0.811850738108256,101,28,344,17,9
"HEME_vs_CONTROL","Mahalanobis",5,1,11,1e-06,-6,0.894557823129252,0.910569105691057,0.765957446808511,0.907563025210084,0.911528150134048,0.783405051028454,108,33,340,11,9
"HEME_vs_CONTROL","Mahalanobis",5,2,12,1e-06,-6,0.903712935555902,0.873983739837398,0.705035971223022,0.823529411764706,0.890080428954424,0.736116430486404,98,41,332,21,10
"HEME_vs_CONTROL","Mahalanobis",5,3,12,1e-06,-6,0.897652801578647,0.904276985743381,0.759124087591241,0.88135593220339,0.911528150134048,0.776298450493025,104,33,340,14,10
"HEME_vs_CONTROL","Mahalanobis",5,4,12,1e-06,-6,0.894152479064242,0.902040816326531,0.769230769230769,0.847457627118644,0.919354838709677,0.790071988336067,100,30,342,18,9
"HEME_vs_CONTROL","Mahalanobis",5,5,11,1e-06,-6,0.896175179491722,0.887755102040816,0.726618705035971,0.85593220338983,0.897849462365591,0.826612903225806,101,38,334,17,9
