"task","model","repeat_id","outer_fold","t_end","num.trees","mtry_rule","min.node.size","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final","mtry_final"
"HEME_vs_CONTROL","RF",1,1,14,400,"floor_sqrt_p",2,0.946006646933583,0.949186991869919,0.96078431372549,0.823529411764706,0.989276139410188,0.970588235294118,98,4,369,21,11,3
"HEME_vs_CONTROL","RF",1,2,15,400,"floor_sqrt_p",2,0.944994028145609,0.949186991869919,0.97,0.815126050420168,0.991957104557641,0.983677653366977,97,3,370,22,11,3
"HEME_vs_CONTROL","RF",1,3,15,400,"floor_sqrt_p",2,0.941445967700057,0.967413441955194,0.955357142857143,0.906779661016949,0.986595174262735,0.992138864906621,107,5,368,11,11,3
"HEME_vs_CONTROL","RF",1,4,15,400,"floor_sqrt_p",7,0.945030220403735,0.93469387755102,0.957446808510638,0.76271186440678,0.989247311827957,0.974257335520321,90,4,368,28,11,3
"HEME_vs_CONTROL","RF",1,5,13,400,"floor_sqrt_p",7,0.948086304696637,0.928571428571429,0.902912621359223,0.788135593220339,0.973118279569892,0.975328048113723,93,10,362,25,10,3
"HEME_vs_CONTROL","RF",2,1,14,400,"floor_sqrt_p",5,0.945499039310381,0.951219512195122,0.952380952380952,0.840336134453782,0.986595174262735,0.980703809674004,100,5,368,19,11,3
"HEME_vs_CONTROL","RF",2,2,12,400,"floor_sqrt_p",5,0.943967128836267,0.939024390243902,0.923809523809524,0.815126050420168,0.978552278820375,0.965034807488679,97,8,365,22,10,3
"HEME_vs_CONTROL","RF",2,3,12,400,"floor_sqrt_p",2,0.946548008516384,0.94908350305499,0.951456310679612,0.830508474576271,0.986595174262735,0.980210842004817,98,5,368,20,10,3
"HEME_vs_CONTROL","RF",2,4,14,400,"floor_sqrt_p",2,0.940961589812815,0.961224489795918,0.99009900990099,0.847457627118644,0.997311827956989,0.984030435574995,100,1,371,18,11,3
"HEME_vs_CONTROL","RF",2,5,14,400,"floor_sqrt_p",2,0.945043196105892,0.940816326530612,0.968421052631579,0.779661016949153,0.991935483870968,0.977355567705486,92,3,369,26,11,3
"HEME_vs_CONTROL","RF",3,1,12,400,"floor_sqrt_p",2,0.942949317131433,0.953252032520325,0.961538461538462,0.840336134453782,0.989276139410188,0.984522495325208,100,4,369,19,10,3
"HEME_vs_CONTROL","RF",3,2,12,400,"floor_sqrt_p",2,0.946501272264631,0.941056910569106,0.95,0.798319327731092,0.986595174262735,0.968121296776083,95,5,368,24,10,3
"HEME_vs_CONTROL","RF",3,3,12,400,"floor_sqrt_p",7,0.942463779404892,0.94704684317719,0.910714285714286,0.864406779661017,0.973190348525469,0.9826191666288,102,10,363,16,10,3
"HEME_vs_CONTROL","RF",3,4,12,400,"floor_sqrt_p",2,0.943026967054501,0.948979591836735,0.96039603960396,0.822033898305085,0.989247311827957,0.98672999817751,97,4,368,21,10,3
"HEME_vs_CONTROL","RF",3,5,12,400,"floor_sqrt_p",5,0.948084999877426,0.930612244897959,0.911764705882353,0.788135593220339,0.975806451612903,0.965668853654091,93,9,363,25,9,3
"HEME_vs_CONTROL","RF",4,1,14,400,"floor_sqrt_p",2,0.947016669263125,0.951219512195122,0.952380952380952,0.840336134453782,0.986595174262735,0.982416022709352,100,5,368,19,11,3
"HEME_vs_CONTROL","RF",4,2,15,400,"floor_sqrt_p",7,0.945491249935089,0.949186991869919,0.979591836734694,0.80672268907563,0.994638069705094,0.984319733255232,96,2,371,23,11,3
"HEME_vs_CONTROL","RF",4,3,12,400,"floor_sqrt_p",2,0.945008308666978,0.938900203665988,0.9,0.838983050847458,0.970509383378016,0.984936611078293,99,11,362,19,10,3
"HEME_vs_CONTROL","RF",4,4,14,400,"floor_sqrt_p",2,0.948091464663519,0.942857142857143,0.95,0.805084745762712,0.986559139784946,0.963390741753235,95,5,367,23,11,3
"HEME_vs_CONTROL","RF",4,5,13,400,"floor_sqrt_p",2,0.946568648383909,0.948979591836735,0.989473684210526,0.796610169491525,0.997311827956989,0.976979679241844,94,1,371,24,10,3
"HEME_vs_CONTROL","RF",5,1,12,400,"floor_sqrt_p",7,0.946005348704367,0.945121951219512,0.925925925925926,0.840336134453782,0.978552278820375,0.979746322121342,100,8,365,19,10,3
"HEME_vs_CONTROL","RF",5,2,14,400,"floor_sqrt_p",2,0.946512956327569,0.922764227642276,0.926315789473684,0.739495798319328,0.981233243967828,0.968076238538311,88,7,366,31,11,3
"HEME_vs_CONTROL","RF",5,3,13,400,"floor_sqrt_p",5,0.942976579944955,0.94908350305499,0.951456310679612,0.830508474576271,0.986595174262735,0.986436133957377,98,5,368,20,10,3
"HEME_vs_CONTROL","RF",5,4,13,400,"floor_sqrt_p",7,0.942492182287725,0.951020408163265,0.96078431372549,0.830508474576271,0.989247311827957,0.985761800619646,98,4,368,20,10,3
"HEME_vs_CONTROL","RF",5,5,12,400,"floor_sqrt_p",2,0.948574485011581,0.940816326530612,0.94949494949495,0.796610169491525,0.986559139784946,0.970544013121925,94,5,367,24,10,3
