"task","repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
"NUC_vs_CONTROL",1,1,1,6,0.01,-2,6,0.617216117216117
"NUC_vs_CONTROL",1,1,1,6,0.00599484250318941,-2.22222222222222,6,0.617216117216117
"NUC_vs_CONTROL",1,1,1,6,0.00359381366380463,-2.44444444444444,6,0.617216117216117
"NUC_vs_CONTROL",1,1,1,6,0.00215443469003188,-2.66666666666667,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,0.00129154966501488,-2.88888888888889,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,0.000774263682681127,-3.11111111111111,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,0.000464158883361278,-3.33333333333333,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,0.000278255940220713,-3.55555555555556,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,0.000166810053720006,-3.77777777777778,6,0.619047619047619
"NUC_vs_CONTROL",1,1,1,6,1e-04,-4,6,0.619047619047619
"NUC_vs_CONTROL",1,1,2,6,0.01,-2,6,0.619047619047619
"NUC_vs_CONTROL",1,1,2,6,0.00599484250318941,-2.22222222222222,6,0.617216117216117
"NUC_vs_CONTROL",1,1,2,6,0.00359381366380463,-2.44444444444444,6,0.615384615384615
"NUC_vs_CONTROL",1,1,2,6,0.00215443469003188,-2.66666666666667,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,0.00129154966501488,-2.88888888888889,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,0.000774263682681127,-3.11111111111111,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,0.000464158883361278,-3.33333333333333,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,0.000278255940220713,-3.55555555555556,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,0.000166810053720006,-3.77777777777778,6,0.620879120879121
"NUC_vs_CONTROL",1,1,2,6,1e-04,-4,6,0.620879120879121
"NUC_vs_CONTROL",1,1,3,6,0.01,-2,6,0.618348623853211
"NUC_vs_CONTROL",1,1,3,6,0.00599484250318941,-2.22222222222222,6,0.623853211009174
"NUC_vs_CONTROL",1,1,3,6,0.00359381366380463,-2.44444444444444,6,0.623853211009174
"NUC_vs_CONTROL",1,1,3,6,0.00215443469003188,-2.66666666666667,6,0.622018348623853
"NUC_vs_CONTROL",1,1,3,6,0.00129154966501488,-2.88888888888889,6,0.622018348623853
"NUC_vs_CONTROL",1,1,3,6,0.000774263682681127,-3.11111111111111,6,0.620183486238532
"NUC_vs_CONTROL",1,1,3,6,0.000464158883361278,-3.33333333333333,6,0.620183486238532
"NUC_vs_CONTROL",1,1,3,6,0.000278255940220713,-3.55555555555556,6,0.620183486238532
"NUC_vs_CONTROL",1,1,3,6,0.000166810053720006,-3.77777777777778,6,0.620183486238532
"NUC_vs_CONTROL",1,1,3,6,1e-04,-4,6,0.620183486238532
"NUC_vs_CONTROL",1,1,4,6,0.01,-2,6,0.629357798165138
"NUC_vs_CONTROL",1,1,4,6,0.00599484250318941,-2.22222222222222,6,0.629357798165138
"NUC_vs_CONTROL",1,1,4,6,0.00359381366380463,-2.44444444444444,6,0.631192660550459
"NUC_vs_CONTROL",1,1,4,6,0.00215443469003188,-2.66666666666667,6,0.631192660550459
"NUC_vs_CONTROL",1,1,4,6,0.00129154966501488,-2.88888888888889,6,0.634862385321101
"NUC_vs_CONTROL",1,1,4,6,0.000774263682681127,-3.11111111111111,6,0.634862385321101
"NUC_vs_CONTROL",1,1,4,6,0.000464158883361278,-3.33333333333333,6,0.636697247706422
"NUC_vs_CONTROL",1,1,4,6,0.000278255940220713,-3.55555555555556,6,0.636697247706422
"NUC_vs_CONTROL",1,1,4,6,0.000166810053720006,-3.77777777777778,6,0.636697247706422
"NUC_vs_CONTROL",1,1,4,6,1e-04,-4,6,0.634862385321101
"NUC_vs_CONTROL",1,1,5,6,0.01,-2,6,0.620183486238532
"NUC_vs_CONTROL",1,1,5,6,0.00599484250318941,-2.22222222222222,6,0.622018348623853
"NUC_vs_CONTROL",1,1,5,6,0.00359381366380463,-2.44444444444444,6,0.620183486238532
"NUC_vs_CONTROL",1,1,5,6,0.00215443469003188,-2.66666666666667,6,0.620183486238532
"NUC_vs_CONTROL",1,1,5,6,0.00129154966501488,-2.88888888888889,6,0.623853211009174
"NUC_vs_CONTROL",1,1,5,6,0.000774263682681127,-3.11111111111111,6,0.623853211009174
"NUC_vs_CONTROL",1,1,5,6,0.000464158883361278,-3.33333333333333,6,0.622018348623853
"NUC_vs_CONTROL",1,1,5,6,0.000278255940220713,-3.55555555555556,6,0.622018348623853
"NUC_vs_CONTROL",1,1,5,6,0.000166810053720006,-3.77777777777778,6,0.622018348623853
"NUC_vs_CONTROL",1,1,5,6,1e-04,-4,6,0.622018348623853
"NUC_vs_CONTROL",1,1,1,7,0.01,-2,7,0.628205128205128
"NUC_vs_CONTROL",1,1,1,7,0.00599484250318941,-2.22222222222222,7,0.620879120879121
"NUC_vs_CONTROL",1,1,1,7,0.00359381366380463,-2.44444444444444,7,0.622710622710623
"NUC_vs_CONTROL",1,1,1,7,0.00215443469003188,-2.66666666666667,7,0.619047619047619
"NUC_vs_CONTROL",1,1,1,7,0.00129154966501488,-2.88888888888889,7,0.620879120879121
"NUC_vs_CONTROL",1,1,1,7,0.000774263682681127,-3.11111111111111,7,0.620879120879121
"NUC_vs_CONTROL",1,1,1,7,0.000464158883361278,-3.33333333333333,7,0.619047619047619
"NUC_vs_CONTROL",1,1,1,7,0.000278255940220713,-3.55555555555556,7,0.619047619047619
"NUC_vs_CONTROL",1,1,1,7,0.000166810053720006,-3.77777777777778,7,0.619047619047619
"NUC_vs_CONTROL",1,1,1,7,1e-04,-4,7,0.619047619047619
"NUC_vs_CONTROL",1,1,2,7,0.01,-2,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.00599484250318941,-2.22222222222222,8,0.692307692307692
"NUC_vs_CONTROL",1,1,2,7,0.00359381366380463,-2.44444444444444,8,0.692307692307692
"NUC_vs_CONTROL",1,1,2,7,0.00215443469003188,-2.66666666666667,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.00129154966501488,-2.88888888888889,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.000774263682681127,-3.11111111111111,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.000464158883361278,-3.33333333333333,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.000278255940220713,-3.55555555555556,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,0.000166810053720006,-3.77777777777778,8,0.694139194139194
"NUC_vs_CONTROL",1,1,2,7,1e-04,-4,8,0.694139194139194
"NUC_vs_CONTROL",1,1,3,7,0.01,-2,7,0.627522935779817
"NUC_vs_CONTROL",1,1,3,7,0.00599484250318941,-2.22222222222222,7,0.627522935779817
"NUC_vs_CONTROL",1,1,3,7,0.00359381366380463,-2.44444444444444,7,0.625688073394495
"NUC_vs_CONTROL",1,1,3,7,0.00215443469003188,-2.66666666666667,7,0.629357798165138
"NUC_vs_CONTROL",1,1,3,7,0.00129154966501488,-2.88888888888889,7,0.631192660550459
"NUC_vs_CONTROL",1,1,3,7,0.000774263682681127,-3.11111111111111,7,0.629357798165138
"NUC_vs_CONTROL",1,1,3,7,0.000464158883361278,-3.33333333333333,7,0.631192660550459
"NUC_vs_CONTROL",1,1,3,7,0.000278255940220713,-3.55555555555556,7,0.631192660550459
"NUC_vs_CONTROL",1,1,3,7,0.000166810053720006,-3.77777777777778,7,0.631192660550459
"NUC_vs_CONTROL",1,1,3,7,1e-04,-4,7,0.631192660550459
"NUC_vs_CONTROL",1,1,4,7,0.01,-2,7,0.651376146788991
"NUC_vs_CONTROL",1,1,4,7,0.00599484250318941,-2.22222222222222,7,0.656880733944954
"NUC_vs_CONTROL",1,1,4,7,0.00359381366380463,-2.44444444444444,7,0.655045871559633
"NUC_vs_CONTROL",1,1,4,7,0.00215443469003188,-2.66666666666667,7,0.651376146788991
"NUC_vs_CONTROL",1,1,4,7,0.00129154966501488,-2.88888888888889,7,0.655045871559633
"NUC_vs_CONTROL",1,1,4,7,0.000774263682681127,-3.11111111111111,7,0.655045871559633
"NUC_vs_CONTROL",1,1,4,7,0.000464158883361278,-3.33333333333333,7,0.655045871559633
"NUC_vs_CONTROL",1,1,4,7,0.000278255940220713,-3.55555555555556,7,0.653211009174312
"NUC_vs_CONTROL",1,1,4,7,0.000166810053720006,-3.77777777777778,7,0.653211009174312
"NUC_vs_CONTROL",1,1,4,7,1e-04,-4,7,0.653211009174312
"NUC_vs_CONTROL",1,1,5,7,0.01,-2,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.00599484250318941,-2.22222222222222,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.00359381366380463,-2.44444444444444,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.00215443469003188,-2.66666666666667,8,0.673394495412844
"NUC_vs_CONTROL",1,1,5,7,0.00129154966501488,-2.88888888888889,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.000774263682681127,-3.11111111111111,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.000464158883361278,-3.33333333333333,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.000278255940220713,-3.55555555555556,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,0.000166810053720006,-3.77777777777778,8,0.671559633027523
"NUC_vs_CONTROL",1,1,5,7,1e-04,-4,8,0.673394495412844
"NUC_vs_CONTROL",1,1,1,8,0.01,-2,8,0.706959706959707
"NUC_vs_CONTROL",1,1,1,8,0.00599484250318941,-2.22222222222222,8,0.706959706959707
"NUC_vs_CONTROL",1,1,1,8,0.00359381366380463,-2.44444444444444,8,0.706959706959707
"NUC_vs_CONTROL",1,1,1,8,0.00215443469003188,-2.66666666666667,8,0.705128205128205
"NUC_vs_CONTROL",1,1,1,8,0.00129154966501488,-2.88888888888889,8,0.705128205128205
"NUC_vs_CONTROL",1,1,1,8,0.000774263682681127,-3.11111111111111,8,0.703296703296703
"NUC_vs_CONTROL",1,1,1,8,0.000464158883361278,-3.33333333333333,8,0.703296703296703
"NUC_vs_CONTROL",1,1,1,8,0.000278255940220713,-3.55555555555556,8,0.701465201465201
"NUC_vs_CONTROL",1,1,1,8,0.000166810053720006,-3.77777777777778,8,0.701465201465201
"NUC_vs_CONTROL",1,1,1,8,1e-04,-4,8,0.701465201465201
"NUC_vs_CONTROL",1,1,2,8,0.01,-2,9,0.701465201465201
"NUC_vs_CONTROL",1,1,2,8,0.00599484250318941,-2.22222222222222,9,0.705128205128205
"NUC_vs_CONTROL",1,1,2,8,0.00359381366380463,-2.44444444444444,9,0.701465201465201
"NUC_vs_CONTROL",1,1,2,8,0.00215443469003188,-2.66666666666667,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,8,0.00129154966501488,-2.88888888888889,9,0.695970695970696
"NUC_vs_CONTROL",1,1,2,8,0.000774263682681127,-3.11111111111111,9,0.694139194139194
"NUC_vs_CONTROL",1,1,2,8,0.000464158883361278,-3.33333333333333,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,8,0.000278255940220713,-3.55555555555556,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,8,0.000166810053720006,-3.77777777777778,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,8,1e-04,-4,9,0.697802197802198
"NUC_vs_CONTROL",1,1,3,8,0.01,-2,8,0.664220183486239
"NUC_vs_CONTROL",1,1,3,8,0.00599484250318941,-2.22222222222222,8,0.664220183486239
"NUC_vs_CONTROL",1,1,3,8,0.00359381366380463,-2.44444444444444,8,0.658715596330275
"NUC_vs_CONTROL",1,1,3,8,0.00215443469003188,-2.66666666666667,8,0.656880733944954
"NUC_vs_CONTROL",1,1,3,8,0.00129154966501488,-2.88888888888889,8,0.655045871559633
"NUC_vs_CONTROL",1,1,3,8,0.000774263682681127,-3.11111111111111,8,0.655045871559633
"NUC_vs_CONTROL",1,1,3,8,0.000464158883361278,-3.33333333333333,8,0.656880733944954
"NUC_vs_CONTROL",1,1,3,8,0.000278255940220713,-3.55555555555556,8,0.656880733944954
"NUC_vs_CONTROL",1,1,3,8,0.000166810053720006,-3.77777777777778,8,0.656880733944954
"NUC_vs_CONTROL",1,1,3,8,1e-04,-4,8,0.656880733944954
"NUC_vs_CONTROL",1,1,4,8,0.01,-2,8,0.702752293577982
"NUC_vs_CONTROL",1,1,4,8,0.00599484250318941,-2.22222222222222,8,0.699082568807339
"NUC_vs_CONTROL",1,1,4,8,0.00359381366380463,-2.44444444444444,8,0.700917431192661
"NUC_vs_CONTROL",1,1,4,8,0.00215443469003188,-2.66666666666667,8,0.704587155963303
"NUC_vs_CONTROL",1,1,4,8,0.00129154966501488,-2.88888888888889,8,0.706422018348624
"NUC_vs_CONTROL",1,1,4,8,0.000774263682681127,-3.11111111111111,8,0.706422018348624
"NUC_vs_CONTROL",1,1,4,8,0.000464158883361278,-3.33333333333333,8,0.708256880733945
"NUC_vs_CONTROL",1,1,4,8,0.000278255940220713,-3.55555555555556,8,0.710091743119266
"NUC_vs_CONTROL",1,1,4,8,0.000166810053720006,-3.77777777777778,8,0.711926605504587
"NUC_vs_CONTROL",1,1,4,8,1e-04,-4,8,0.711926605504587
"NUC_vs_CONTROL",1,1,5,8,0.01,-2,9,0.677064220183486
"NUC_vs_CONTROL",1,1,5,8,0.00599484250318941,-2.22222222222222,9,0.68256880733945
"NUC_vs_CONTROL",1,1,5,8,0.00359381366380463,-2.44444444444444,9,0.688073394495413
"NUC_vs_CONTROL",1,1,5,8,0.00215443469003188,-2.66666666666667,9,0.689908256880734
"NUC_vs_CONTROL",1,1,5,8,0.00129154966501488,-2.88888888888889,9,0.688073394495413
"NUC_vs_CONTROL",1,1,5,8,0.000774263682681127,-3.11111111111111,9,0.689908256880734
"NUC_vs_CONTROL",1,1,5,8,0.000464158883361278,-3.33333333333333,9,0.689908256880734
"NUC_vs_CONTROL",1,1,5,8,0.000278255940220713,-3.55555555555556,9,0.689908256880734
"NUC_vs_CONTROL",1,1,5,8,0.000166810053720006,-3.77777777777778,9,0.689908256880734
"NUC_vs_CONTROL",1,1,5,8,1e-04,-4,9,0.689908256880734
"NUC_vs_CONTROL",1,1,1,9,0.01,-2,9,0.681318681318681
"NUC_vs_CONTROL",1,1,1,9,0.00599484250318941,-2.22222222222222,9,0.67948717948718
"NUC_vs_CONTROL",1,1,1,9,0.00359381366380463,-2.44444444444444,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.00215443469003188,-2.66666666666667,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.00129154966501488,-2.88888888888889,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.000774263682681127,-3.11111111111111,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.000464158883361278,-3.33333333333333,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.000278255940220713,-3.55555555555556,9,0.677655677655678
"NUC_vs_CONTROL",1,1,1,9,0.000166810053720006,-3.77777777777778,9,0.675824175824176
"NUC_vs_CONTROL",1,1,1,9,1e-04,-4,9,0.675824175824176
"NUC_vs_CONTROL",1,1,2,9,0.01,-2,9,0.703296703296703
"NUC_vs_CONTROL",1,1,2,9,0.00599484250318941,-2.22222222222222,9,0.705128205128205
"NUC_vs_CONTROL",1,1,2,9,0.00359381366380463,-2.44444444444444,9,0.6996336996337
"NUC_vs_CONTROL",1,1,2,9,0.00215443469003188,-2.66666666666667,9,0.6996336996337
"NUC_vs_CONTROL",1,1,2,9,0.00129154966501488,-2.88888888888889,9,0.6996336996337
"NUC_vs_CONTROL",1,1,2,9,0.000774263682681127,-3.11111111111111,9,0.6996336996337
"NUC_vs_CONTROL",1,1,2,9,0.000464158883361278,-3.33333333333333,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,9,0.000278255940220713,-3.55555555555556,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,9,0.000166810053720006,-3.77777777777778,9,0.697802197802198
"NUC_vs_CONTROL",1,1,2,9,1e-04,-4,9,0.697802197802198
"NUC_vs_CONTROL",1,1,3,9,0.01,-2,9,0.667889908256881
"NUC_vs_CONTROL",1,1,3,9,0.00599484250318941,-2.22222222222222,9,0.669724770642202
"NUC_vs_CONTROL",1,1,3,9,0.00359381366380463,-2.44444444444444,9,0.667889908256881
"NUC_vs_CONTROL",1,1,3,9,0.00215443469003188,-2.66666666666667,9,0.664220183486239
"NUC_vs_CONTROL",1,1,3,9,0.00129154966501488,-2.88888888888889,9,0.662385321100917
"NUC_vs_CONTROL",1,1,3,9,0.000774263682681127,-3.11111111111111,9,0.660550458715596
"NUC_vs_CONTROL",1,1,3,9,0.000464158883361278,-3.33333333333333,9,0.658715596330275
"NUC_vs_CONTROL",1,1,3,9,0.000278255940220713,-3.55555555555556,9,0.658715596330275
"NUC_vs_CONTROL",1,1,3,9,0.000166810053720006,-3.77777777777778,9,0.658715596330275
"NUC_vs_CONTROL",1,1,3,9,1e-04,-4,9,0.658715596330275
"NUC_vs_CONTROL",1,1,4,9,0.01,-2,9,0.702752293577982
"NUC_vs_CONTROL",1,1,4,9,0.00599484250318941,-2.22222222222222,9,0.711926605504587
"NUC_vs_CONTROL",1,1,4,9,0.00359381366380463,-2.44444444444444,9,0.710091743119266
"NUC_vs_CONTROL",1,1,4,9,0.00215443469003188,-2.66666666666667,9,0.706422018348624
"NUC_vs_CONTROL",1,1,4,9,0.00129154966501488,-2.88888888888889,9,0.706422018348624
"NUC_vs_CONTROL",1,1,4,9,0.000774263682681127,-3.11111111111111,9,0.708256880733945
"NUC_vs_CONTROL",1,1,4,9,0.000464158883361278,-3.33333333333333,9,0.708256880733945
"NUC_vs_CONTROL",1,1,4,9,0.000278255940220713,-3.55555555555556,9,0.708256880733945
"NUC_vs_CONTROL",1,1,4,9,0.000166810053720006,-3.77777777777778,9,0.708256880733945
"NUC_vs_CONTROL",1,1,4,9,1e-04,-4,9,0.708256880733945
"NUC_vs_CONTROL",1,1,5,9,0.01,-2,10,0.695412844036697
"NUC_vs_CONTROL",1,1,5,9,0.00599484250318941,-2.22222222222222,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,0.00359381366380463,-2.44444444444444,10,0.688073394495413
"NUC_vs_CONTROL",1,1,5,9,0.00215443469003188,-2.66666666666667,10,0.689908256880734
"NUC_vs_CONTROL",1,1,5,9,0.00129154966501488,-2.88888888888889,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,0.000774263682681127,-3.11111111111111,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,0.000464158883361278,-3.33333333333333,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,0.000278255940220713,-3.55555555555556,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,0.000166810053720006,-3.77777777777778,10,0.691743119266055
"NUC_vs_CONTROL",1,1,5,9,1e-04,-4,10,0.691743119266055
"NUC_vs_CONTROL",1,1,1,10,0.01,-2,10,0.695970695970696
"NUC_vs_CONTROL",1,1,1,10,0.00599484250318941,-2.22222222222222,10,0.701465201465201
"NUC_vs_CONTROL",1,1,1,10,0.00359381366380463,-2.44444444444444,10,0.708791208791209
"NUC_vs_CONTROL",1,1,1,10,0.00215443469003188,-2.66666666666667,10,0.710622710622711
