"task","model","repeat_id","outer_fold","t_end","lambda","log10_lambda","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final"
"NUC_vs_CONTROL","BinomialLasso",1,1,16,0.000278255940220713,-3.55555555555555,0.733771549551366,0.707174231332357,0.690972222222222,0.641935483870968,0.761394101876676,0.794577531782409,199,89,284,111,14
"NUC_vs_CONTROL","BinomialLasso",1,2,15,0.00215443469003188,-2.66666666666667,0.724972275430991,0.764275256222548,0.749163879598662,0.72258064516129,0.798927613941019,0.818507307792095,224,75,298,86,13
"NUC_vs_CONTROL","BinomialLasso",1,3,18,0.00359381366380463,-2.44444444444444,0.733863628726014,0.731671554252199,0.71875,0.669902912621359,0.7828418230563,0.786104097798832,207,81,292,102,15
"NUC_vs_CONTROL","BinomialLasso",1,4,20,0.00359381366380463,-2.44444444444444,0.734350515838868,0.718061674008811,0.70383275261324,0.653721682847896,0.771505376344086,0.790453074433657,202,85,287,107,15
"NUC_vs_CONTROL","BinomialLasso",1,5,16,0.00599484250318941,-2.22222222222222,0.737628429523504,0.728340675477239,0.715277777777778,0.666666666666667,0.779569892473118,0.791705814803215,206,82,290,103,14
"NUC_vs_CONTROL","BinomialLasso",2,1,16,1e-04,-4,0.740757468830863,0.708638360175695,0.689419795221843,0.651612903225806,0.756032171581769,0.784484995243449,202,91,282,108,14
"NUC_vs_CONTROL","BinomialLasso",2,2,20,0.00359381366380463,-2.44444444444444,0.733033571932655,0.734992679355783,0.71864406779661,0.683870967741935,0.777479892761394,0.807152123151431,212,83,290,98,15
"NUC_vs_CONTROL","BinomialLasso",2,3,19,0.00599484250318941,-2.22222222222222,0.726915347649293,0.730205278592375,0.724014336917563,0.653721682847896,0.793565683646113,0.802675759389885,202,77,296,107,15
"NUC_vs_CONTROL","BinomialLasso",2,4,20,0.000278255940220713,-3.55555555555555,0.740546091838714,0.713656387665198,0.685064935064935,0.68284789644013,0.739247311827957,0.783641298674183,211,97,275,98,16
"NUC_vs_CONTROL","BinomialLasso",2,5,16,1e-04,-4,0.731043765284914,0.734214390602056,0.717687074829932,0.68284789644013,0.776881720430108,0.800735984967116,211,83,289,98,13
"NUC_vs_CONTROL","BinomialLasso",3,1,16,0.000774263682681127,-3.11111111111111,0.734871794871795,0.717423133235725,0.693069306930693,0.67741935483871,0.750670241286863,0.787615670673701,210,93,280,100,14
"NUC_vs_CONTROL","BinomialLasso",3,2,16,0.000464158883361278,-3.33333333333333,0.726438149006956,0.73792093704246,0.714754098360656,0.703225806451613,0.766756032171582,0.805777047479028,218,87,286,92,14
"NUC_vs_CONTROL","BinomialLasso",3,3,19,1e-04,-4,0.728385253889841,0.733137829912023,0.710963455149502,0.692556634304207,0.766756032171582,0.813304181090953,214,87,286,95,15
"NUC_vs_CONTROL","BinomialLasso",3,4,19,0.00359381366380463,-2.44444444444444,0.741300182913654,0.704845814977974,0.6875,0.640776699029126,0.758064516129032,0.778882625187041,198,90,282,111,15
"NUC_vs_CONTROL","BinomialLasso",3,5,20,0.00129154966501488,-2.88888888888889,0.736556395653053,0.73568281938326,0.724738675958188,0.673139158576052,0.78763440860215,0.790244284372064,208,79,293,101,15
"NUC_vs_CONTROL","BinomialLasso",4,1,16,0.00599484250318941,-2.22222222222222,0.727898645696811,0.746705710102489,0.740350877192982,0.680645161290323,0.801608579088472,0.812834039609098,211,74,299,99,14
"NUC_vs_CONTROL","BinomialLasso",4,2,15,0.00599484250318941,-2.22222222222222,0.734512215613133,0.708638360175695,0.70479704797048,0.616129032258064,0.785522788203753,0.777237741070656,191,80,293,119,13
"NUC_vs_CONTROL","BinomialLasso",4,3,20,0.00599484250318941,-2.22222222222222,0.732025405786874,0.75366568914956,0.728155339805825,0.728155339805825,0.774798927613941,0.831376836114076,225,84,289,84,15
"NUC_vs_CONTROL","BinomialLasso",4,4,17,0.00359381366380463,-2.44444444444444,0.746403574007351,0.707782672540382,0.680921052631579,0.669902912621359,0.739247311827957,0.751853011796638,207,97,275,102,14
"NUC_vs_CONTROL","BinomialLasso",4,5,16,1e-04,-4,0.729920690315504,0.748898678414097,0.733108108108108,0.702265372168285,0.78763440860215,0.812767512266416,217,79,293,92,14
"NUC_vs_CONTROL","BinomialLasso",5,1,15,1e-04,-4,0.731941391941392,0.724743777452416,0.696774193548387,0.696774193548387,0.74798927613941,0.790902015047998,216,94,279,94,13
"NUC_vs_CONTROL","BinomialLasso",5,2,19,0.00359381366380463,-2.44444444444444,0.729354437611318,0.73792093704246,0.74169741697417,0.648387096774194,0.812332439678284,0.794093228400934,201,70,303,109,15
"NUC_vs_CONTROL","BinomialLasso",5,3,16,1e-04,-4,0.735336895520382,0.741935483870968,0.726962457337884,0.689320388349515,0.785522788203753,0.808688409380775,213,80,293,96,14
"NUC_vs_CONTROL","BinomialLasso",5,4,19,0.00215443469003188,-2.66666666666667,0.731032336944485,0.732745961820852,0.701587301587302,0.715210355987055,0.747311827956989,0.794524480634722,221,94,278,88,15
"NUC_vs_CONTROL","BinomialLasso",5,5,19,0.00129154966501488,-2.88888888888889,0.742755984657935,0.71071953010279,0.686666666666667,0.666666666666667,0.747311827956989,0.807095382259804,206,94,278,103,16
