"task","model","repeat_id","outer_fold","t_end","eps","log10_eps","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final"
"NUC_vs_CONTROL","Mahalanobis",1,1,16,1e-06,-6,0.732668615787882,0.715959004392387,0.680124223602484,0.706451612903226,0.723860589812332,0.619380783533685,219,103,270,91,14
"NUC_vs_CONTROL","Mahalanobis",1,2,20,1e-06,-6,0.72423967469839,0.730600292825769,0.694444444444444,0.725806451612903,0.734584450402145,0.620937472974142,225,99,274,85,15
"NUC_vs_CONTROL","Mahalanobis",1,3,18,1e-06,-6,0.736064791477635,0.721407624633431,0.678678678678679,0.731391585760518,0.71313672922252,0.604223604640065,226,107,266,83,15
"NUC_vs_CONTROL","Mahalanobis",1,4,17,1e-06,-6,0.727756442049584,0.729809104258443,0.686567164179104,0.744336569579288,0.717741935483871,0.62379510735289,230,105,267,79,14
"NUC_vs_CONTROL","Mahalanobis",1,5,19,1e-06,-6,0.730669377472457,0.718061674008811,0.676737160120846,0.724919093851133,0.71236559139785,0.621133034067578,224,107,265,85,15
"NUC_vs_CONTROL","Mahalanobis",2,1,17,1e-06,-6,0.735989515072084,0.718887262079063,0.675595238095238,0.732258064516129,0.707774798927614,0.618048949234628,227,109,264,83,15
"NUC_vs_CONTROL","Mahalanobis",2,2,20,1e-06,-6,0.732667271566354,0.745241581259151,0.706060606060606,0.751612903225806,0.739946380697051,0.622277955547868,233,97,276,77,15
"NUC_vs_CONTROL","Mahalanobis",2,3,20,1e-06,-6,0.729110461404039,0.730205278592375,0.692307692307692,0.728155339805825,0.731903485254692,0.615997293006065,225,100,273,84,15
"NUC_vs_CONTROL","Mahalanobis",2,4,20,1e-06,-6,0.746416974446091,0.700440528634361,0.653061224489796,0.724919093851133,0.68010752688172,0.615417406131468,224,119,253,85,16
"NUC_vs_CONTROL","Mahalanobis",2,5,16,1e-06,-6,0.72994083889376,0.728340675477239,0.681286549707602,0.754045307443366,0.706989247311828,0.617018129937015,233,109,263,76,13
"NUC_vs_CONTROL","Mahalanobis",3,1,16,1e-06,-6,0.73010989010989,0.727672035139092,0.681286549707602,0.751612903225806,0.707774798927614,0.66188705353282,233,109,264,77,14
"NUC_vs_CONTROL","Mahalanobis",3,2,20,1e-06,-6,0.722402123870014,0.742313323572474,0.692528735632184,0.77741935483871,0.71313672922252,0.645031566202543,241,107,266,69,16
"NUC_vs_CONTROL","Mahalanobis",3,3,20,1e-06,-6,0.725812413885808,0.744868035190616,0.696793002915452,0.773462783171521,0.721179624664879,0.641947994481897,239,104,269,70,16
"NUC_vs_CONTROL","Mahalanobis",3,4,20,1e-06,-6,0.738742102314549,0.698972099853157,0.661490683229814,0.689320388349515,0.706989247311828,0.605952256672582,213,109,263,96,15
"NUC_vs_CONTROL","Mahalanobis",3,5,20,1e-06,-6,0.728854008756731,0.726872246696035,0.684684684684685,0.737864077669903,0.717741935483871,0.587587430838292,228,105,267,81,15
"NUC_vs_CONTROL","Mahalanobis",4,1,20,1e-06,-6,0.733031555600363,0.739385065885798,0.701219512195122,0.741935483870968,0.737265415549598,0.64689959353109,230,98,275,80,15
"NUC_vs_CONTROL","Mahalanobis",4,2,15,1e-06,-6,0.731575091575092,0.715959004392387,0.677914110429448,0.712903225806452,0.718498659517426,0.62062613508605,221,105,268,89,13
"NUC_vs_CONTROL","Mahalanobis",4,3,16,1e-06,-6,0.728007527640555,0.733137829912023,0.68955223880597,0.747572815533981,0.721179624664879,0.617741221791301,231,104,269,78,14
"NUC_vs_CONTROL","Mahalanobis",4,4,17,1e-06,-6,0.740171085979247,0.712187958883994,0.664723032069971,0.737864077669903,0.690860215053763,0.615530500748164,228,115,257,81,14
"NUC_vs_CONTROL","Mahalanobis",4,5,17,1e-06,-6,0.724063225348971,0.747430249632893,0.709480122324159,0.750809061488673,0.744623655913978,0.610876222291819,232,95,277,77,14
"NUC_vs_CONTROL","Mahalanobis",5,1,15,1e-06,-6,0.731204086433444,0.724743777452416,0.675287356321839,0.758064516129032,0.697050938337802,0.657632102395572,235,113,260,75,13
"NUC_vs_CONTROL","Mahalanobis",5,2,20,1e-06,-6,0.724956144772659,0.717423133235725,0.688102893890675,0.690322580645161,0.739946380697051,0.562622156879703,214,97,276,96,15
"NUC_vs_CONTROL","Mahalanobis",5,3,15,1e-06,-6,0.728373155896092,0.734604105571848,0.688235294117647,0.757281553398058,0.715817694369973,0.61993631623242,234,106,267,75,13
"NUC_vs_CONTROL","Mahalanobis",5,4,20,1e-06,-6,0.726994297932694,0.713656387665198,0.661931818181818,0.754045307443366,0.68010752688172,0.601332776559836,233,119,253,76,15
"NUC_vs_CONTROL","Mahalanobis",5,5,20,1e-06,-6,0.740567567436393,0.729809104258443,0.684365781710914,0.750809061488673,0.71236559139785,0.681551658141072,232,107,265,77,16
