"task","repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
"NUC_vs_CONTROL",1,1,1,6,400,"floor_sqrt_p",2,6,2,0.815018315018315
"NUC_vs_CONTROL",1,1,1,6,400,"floor_sqrt_p",5,6,2,0.816849816849817
"NUC_vs_CONTROL",1,1,1,6,400,"floor_sqrt_p",7,6,2,0.822344322344322
"NUC_vs_CONTROL",1,1,2,6,400,"floor_sqrt_p",2,6,2,0.811355311355311
"NUC_vs_CONTROL",1,1,2,6,400,"floor_sqrt_p",5,6,2,0.804029304029304
"NUC_vs_CONTROL",1,1,2,6,400,"floor_sqrt_p",7,6,2,0.8003663003663
"NUC_vs_CONTROL",1,1,3,6,400,"floor_sqrt_p",2,6,2,0.838532110091743
"NUC_vs_CONTROL",1,1,3,6,400,"floor_sqrt_p",5,6,2,0.834862385321101
"NUC_vs_CONTROL",1,1,3,6,400,"floor_sqrt_p",7,6,2,0.834862385321101
"NUC_vs_CONTROL",1,1,4,6,400,"floor_sqrt_p",2,6,2,0.831192660550459
"NUC_vs_CONTROL",1,1,4,6,400,"floor_sqrt_p",5,6,2,0.825688073394495
"NUC_vs_CONTROL",1,1,4,6,400,"floor_sqrt_p",7,6,2,0.823853211009174
"NUC_vs_CONTROL",1,1,5,6,400,"floor_sqrt_p",2,6,2,0.840366972477064
"NUC_vs_CONTROL",1,1,5,6,400,"floor_sqrt_p",5,6,2,0.838532110091743
"NUC_vs_CONTROL",1,1,5,6,400,"floor_sqrt_p",7,6,2,0.845871559633028
"NUC_vs_CONTROL",1,1,1,7,400,"floor_sqrt_p",2,7,2,0.831501831501832
"NUC_vs_CONTROL",1,1,1,7,400,"floor_sqrt_p",5,7,2,0.827838827838828
"NUC_vs_CONTROL",1,1,1,7,400,"floor_sqrt_p",7,7,2,0.824175824175824
"NUC_vs_CONTROL",1,1,2,7,400,"floor_sqrt_p",2,8,2,0.842490842490842
"NUC_vs_CONTROL",1,1,2,7,400,"floor_sqrt_p",5,8,2,0.838827838827839
"NUC_vs_CONTROL",1,1,2,7,400,"floor_sqrt_p",7,8,2,0.838827838827839
