"task","model","repeat_id","outer_fold","t_end","num.trees","mtry_rule","min.node.size","mean_inner_accuracy","outer_accuracy","outer_ppv","outer_tpr","outer_tnr","outer_auc","tp","fp","tn","fn","k_use_final","mtry_final"
"NUC_vs_CONTROL","RF",1,1,17,400,"floor_sqrt_p",2,0.859926067815976,0.841874084919473,0.827922077922078,0.82258064516129,0.857908847184987,0.932162933494768,255,53,320,55,14,3
"NUC_vs_CONTROL","RF",1,2,18,400,"floor_sqrt_p",2,0.858458177907719,0.872620790629575,0.849529780564263,0.874193548387097,0.871313672922252,0.937792960304419,271,48,325,39,15,3
"NUC_vs_CONTROL","RF",1,3,19,400,"floor_sqrt_p",2,0.858507914104244,0.866568914956012,0.853896103896104,0.851132686084142,0.879356568364611,0.937348707670684,263,45,328,46,15,3
"NUC_vs_CONTROL","RF",1,4,19,400,"floor_sqrt_p",2,0.862592139535601,0.832599118942731,0.819672131147541,0.809061488673139,0.852150537634409,0.924000417580123,250,55,317,59,15,3
"NUC_vs_CONTROL","RF",1,5,19,400,"floor_sqrt_p",5,0.859646302632063,0.869309838472834,0.864238410596026,0.844660194174757,0.889784946236559,0.935679611650485,261,41,331,48,15,3
"NUC_vs_CONTROL","RF",2,1,18,400,"floor_sqrt_p",5,0.861752864872131,0.856515373352855,0.829192546583851,0.861290322580645,0.85254691689008,0.934558505578137,267,55,318,43,15,3
"NUC_vs_CONTROL","RF",2,2,18,400,"floor_sqrt_p",7,0.856250966159223,0.874084919472914,0.870860927152318,0.848387096774194,0.89544235924933,0.938138891291187,263,39,334,47,15,3
"NUC_vs_CONTROL","RF",2,3,18,400,"floor_sqrt_p",7,0.854850287327352,0.872434017595308,0.87,0.844660194174757,0.89544235924933,0.941192292008294,261,39,334,48,15,3
"NUC_vs_CONTROL","RF",2,4,18,400,"floor_sqrt_p",2,0.862957098137817,0.863436123348018,0.841772151898734,0.86084142394822,0.865591397849462,0.92712356891812,266,50,322,43,15,3
"NUC_vs_CONTROL","RF",2,5,20,400,"floor_sqrt_p",2,0.860747897088906,0.856093979441997,0.845901639344262,0.83495145631068,0.873655913978495,0.941373490621846,258,47,325,51,15,3
"NUC_vs_CONTROL","RF",3,1,11,400,"floor_sqrt_p",5,0.852581913499345,0.859443631039531,0.854304635761589,0.832258064516129,0.882037533512064,0.93936262215688,258,44,329,52,11,3
"NUC_vs_CONTROL","RF",3,2,11,400,"floor_sqrt_p",2,0.861385220284303,0.855051244509517,0.837060702875399,0.845161290322581,0.863270777479893,0.932612643777566,262,51,322,48,11,3
"NUC_vs_CONTROL","RF",3,3,14,400,"floor_sqrt_p",2,0.856312800349498,0.859237536656892,0.853820598006645,0.831715210355987,0.882037533512064,0.942289839228854,257,44,329,52,12,3
"NUC_vs_CONTROL","RF",3,4,11,400,"floor_sqrt_p",2,0.859292070770192,0.850220264317181,0.828571428571429,0.844660194174757,0.854838709677419,0.918832863555695,261,54,318,48,10,3
"NUC_vs_CONTROL","RF",3,5,18,400,"floor_sqrt_p",5,0.856720589732347,0.873715124816446,0.86084142394822,0.86084142394822,0.884408602150538,0.945044715871524,266,43,329,43,14,3
"NUC_vs_CONTROL","RF",4,1,18,400,"floor_sqrt_p",2,0.85919077864032,0.86090775988287,0.845659163987138,0.848387096774194,0.871313672922252,0.946397993600277,263,48,325,47,15,3
"NUC_vs_CONTROL","RF",4,2,18,400,"floor_sqrt_p",2,0.858444063581678,0.838945827232797,0.835570469798658,0.803225806451613,0.868632707774799,0.917058721785004,249,49,324,61,15,3
"NUC_vs_CONTROL","RF",4,3,20,400,"floor_sqrt_p",2,0.854467856302719,0.89149560117302,0.885245901639344,0.87378640776699,0.906166219839142,0.955226146785011,270,35,338,39,15,3
"NUC_vs_CONTROL","RF",4,4,18,400,"floor_sqrt_p",2,0.860384277793331,0.828193832599119,0.813725490196078,0.805825242718447,0.846774193548387,0.919128649476285,249,57,315,60,15,3
"NUC_vs_CONTROL","RF",4,5,11,400,"floor_sqrt_p",2,0.857449157800365,0.859030837004405,0.83596214511041,0.857605177993528,0.860215053763441,0.930812193339597,265,52,320,44,10,3
"NUC_vs_CONTROL","RF",5,1,14,400,"floor_sqrt_p",2,0.850377390193904,0.859443631039531,0.842948717948718,0.848387096774194,0.868632707774799,0.939237222174176,263,49,324,47,12,3
"NUC_vs_CONTROL","RF",5,2,11,400,"floor_sqrt_p",5,0.858815068723326,0.83601756954612,0.803680981595092,0.845161290322581,0.828418230563003,0.921672576321024,262,64,309,48,11,3
"NUC_vs_CONTROL","RF",5,3,11,400,"floor_sqrt_p",2,0.86364149611856,0.847507331378299,0.838283828382838,0.822006472491909,0.868632707774799,0.924178141023973,254,49,324,55,11,3
"NUC_vs_CONTROL","RF",5,4,19,400,"floor_sqrt_p",7,0.856361655552572,0.838472834067548,0.83728813559322,0.799352750809062,0.870967741935484,0.933826599853847,247,48,324,62,15,3
"NUC_vs_CONTROL","RF",5,5,19,400,"floor_sqrt_p",2,0.865156234727373,0.856093979441997,0.834920634920635,0.851132686084142,0.860215053763441,0.949124821658489,263,52,320,46,16,4
