"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",1,1,"RF",10,0.841874084919473,0.847730600292826,0.00585651537335286,10
"NUC_vs_CONTROL",1,1,"BinomialLasso",10,0.715959004392387,0.717423133235725,0.00146412884333813,10
"NUC_vs_CONTROL",1,1,"Mahalanobis",10,0.711566617862372,0.710102489019034,-0.00146412884333813,10
"NUC_vs_CONTROL",1,2,"RF",10,0.866764275256223,0.869692532942899,0.00292825768667637,10
"NUC_vs_CONTROL",1,2,"BinomialLasso",10,0.710102489019034,0.710102489019034,0,10
"NUC_vs_CONTROL",1,2,"Mahalanobis",10,0.701317715959004,0.704245973645681,0.00292825768667648,10
"NUC_vs_CONTROL",1,3,"RF",10,0.843108504398827,0.847507331378299,0.00439882697947214,10
"NUC_vs_CONTROL",1,3,"BinomialLasso",10,0.673020527859237,0.674486803519062,0.00146627565982405,10
"NUC_vs_CONTROL",1,3,"Mahalanobis",10,0.673020527859237,0.670087976539589,-0.00293255131964809,10
"NUC_vs_CONTROL",1,4,"RF",10,0.859030837004405,0.857562408223201,-0.00146842878120412,10
"NUC_vs_CONTROL",1,4,"BinomialLasso",10,0.704845814977974,0.698972099853157,-0.00587371512481649,10
"NUC_vs_CONTROL",1,4,"Mahalanobis",10,0.700440528634361,0.704845814977974,0.00440528634361237,10
"NUC_vs_CONTROL",1,5,"RF",10,0.838472834067548,0.832599118942731,-0.00587371512481638,10
"NUC_vs_CONTROL",1,5,"BinomialLasso",10,0.690161527165932,0.688693098384728,-0.00146842878120412,10
"NUC_vs_CONTROL",1,5,"Mahalanobis",10,0.684287812041116,0.681350954478708,-0.00293685756240825,10
"NUC_vs_CONTROL",2,1,"RF",10,0.850658857979502,0.850658857979502,0,10
"NUC_vs_CONTROL",2,1,"BinomialLasso",10,0.730600292825769,0.732064421669107,0.00146412884333824,10
"NUC_vs_CONTROL",2,1,"Mahalanobis",10,0.72913616398243,0.72913616398243,0,10
"NUC_vs_CONTROL",2,2,"RF",10,0.850658857979502,0.849194729136164,-0.00146412884333824,10
"NUC_vs_CONTROL",2,2,"BinomialLasso",10,0.682284040995608,0.674963396778917,-0.00732064421669099,10
"NUC_vs_CONTROL",2,2,"Mahalanobis",10,0.68081991215227,0.677891654465593,-0.00292825768667648,10
"NUC_vs_CONTROL",2,3,"RF",10,0.850439882697947,0.853372434017595,0.00293255131964809,10
"NUC_vs_CONTROL",2,3,"BinomialLasso",10,0.705278592375367,0.703812316715543,-0.00146627565982405,10
"NUC_vs_CONTROL",2,3,"Mahalanobis",10,0.693548387096774,0.690615835777126,-0.00293255131964809,10
"NUC_vs_CONTROL",2,4,"RF",10,0.841409691629956,0.845814977973568,0.00440528634361237,10
"NUC_vs_CONTROL",2,4,"BinomialLasso",10,0.676945668135095,0.6784140969163,0.00146842878120412,10
"NUC_vs_CONTROL",2,4,"Mahalanobis",10,0.666666666666667,0.665198237885463,-0.00146842878120412,10
"NUC_vs_CONTROL",2,5,"RF",10,0.850220264317181,0.854625550660793,0.00440528634361237,10
"NUC_vs_CONTROL",2,5,"BinomialLasso",10,0.701908957415565,0.701908957415565,0,10
"NUC_vs_CONTROL",2,5,"Mahalanobis",10,0.687224669603524,0.694566813509545,0.0073421439060205,10
"NUC_vs_CONTROL",3,1,"RF",10,0.865300146412884,0.862371888726208,-0.00292825768667637,10
"NUC_vs_CONTROL",3,1,"BinomialLasso",10,0.718887262079063,0.71303074670571,-0.00585651537335286,10
"NUC_vs_CONTROL",3,1,"Mahalanobis",10,0.718887262079063,0.71303074670571,-0.00585651537335286,10
"NUC_vs_CONTROL",3,2,"RF",10,0.850658857979502,0.846266471449488,-0.00439238653001472,10
"NUC_vs_CONTROL",3,2,"BinomialLasso",10,0.701317715959004,0.69692532942899,-0.00439238653001461,10
"NUC_vs_CONTROL",3,2,"Mahalanobis",10,0.693997071742313,0.695461200585652,0.00146412884333824,10
"NUC_vs_CONTROL",3,3,"RF",10,0.851906158357771,0.848973607038123,-0.00293255131964809,10
"NUC_vs_CONTROL",3,3,"BinomialLasso",10,0.690615835777126,0.690615835777126,0,10
"NUC_vs_CONTROL",3,3,"Mahalanobis",10,0.687683284457478,0.686217008797654,-0.00146627565982416,10
"NUC_vs_CONTROL",3,4,"RF",10,0.854625550660793,0.847283406754772,-0.0073421439060205,10
"NUC_vs_CONTROL",3,4,"BinomialLasso",10,0.713656387665198,0.713656387665198,0,10
"NUC_vs_CONTROL",3,4,"Mahalanobis",10,0.707782672540382,0.713656387665198,0.00587371512481649,10
"NUC_vs_CONTROL",3,5,"RF",10,0.848751835535977,0.839941262848752,-0.00881057268722474,10
"NUC_vs_CONTROL",3,5,"BinomialLasso",10,0.669603524229075,0.668135095447871,-0.00146842878120412,10
