split,t_min,t_max_grid,n_fit_pockets,n_validation_pockets,n_test_pockets,n_train_pairs,n_validation_pairs,n_test_pairs,n_positive_test_pairs,n_negative_test_pairs,auc_difference_siamese_minus_direct,split_method,split_unit,outer_test_size,inner_validation_size,embedding_dim,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,elapsed_minutes,direct_selected_t_max,direct_validation_auc,direct_test_auc,direct_retained_scores,direct_explained_variance,direct_scale_ilr,direct_input_features,siamese_selected_t_max,siamese_validation_auc,siamese_test_auc,siamese_best_epoch,siamese_input_features
1,4.8,8;10;12;15,4753,1180,1514,439630,27053,36582,18376,18206,0.12180574215918438,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.259307046731313,8.0,0.7180019803027056,0.8081436468556462,6,0.950170314884465,6.032693887353592,264,8.0,0.9441038231450682,0.9299493890148306,1,264
2,4.8,8;10;12;15,4777,1157,1513,455837,21332,38986,20816,18170,0.15425182017811945,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.370967519283295,8.0,0.8317952903707678,0.7819593972631019,6,0.9522310116022414,6.158148893445552,264,8.0,0.9492558001290377,0.9362112174412214,1,264
3,4.8,8;10;12;15,4758,1225,1464,438406,26574,37895,18478,19417,0.14098373558490762,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.2918492833773296,8.0,0.7703994217311959,0.7889077469810067,6,0.9514414333710756,6.0827930595455415,264,8.0,0.9388233093506722,0.9298914825659144,1,264
4,4.8,8;10;12;15,4719,1238,1490,410850,30059,42803,23035,19768,0.20477167880208336,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,1.9971041520436605,8.0,0.7495856616109781,0.7281228629352496,6,0.9509316991189058,5.971421383714369,264,12.0,0.9466528536148788,0.932894541737333,1,584
5,4.8,8;10;12;15,4724,1181,1542,417863,28604,40519,21625,18894,0.16855060939307875,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.5053419351577757,10.0,0.7597371797740984,0.7766014668999119,7,0.9517183598643437,7.0315029410733025,424,8.0,0.9502262603367635,0.9451520762929907,1,264
6,4.8,8;10;12;15,4810,1099,1538,443846,24694,38165,22283,15882,0.18913872042773727,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.385535116990407,8.0,0.778632750657781,0.7515050483131883,6,0.9540440498932755,6.108258171892005,264,15.0,0.9607813969735864,0.9406437687409256,1,824
7,4.8,8;10;12;15,4744,1137,1566,414054,26565,44225,22866,21359,0.16926052773188915,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.1989866336186727,8.0,0.7921197164873436,0.7650458401393524,6,0.9527869419345822,6.0676234598614975,264,10.0,0.9435740829275375,0.9343063678712415,1,424
8,4.8,8;10;12;15,4786,1194,1467,425803,30317,37825,20298,17527,0.18778925116353984,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.321665151913961,8.0,0.807848573754175,0.7410270233631854,7,0.9593888855877744,6.0635645547077,264,12.0,0.9457277576821573,0.9288162745267252,1,584
9,4.8,8;10;12;15,4845,1113,1489,424299,25019,43971,19137,24834,0.15439683315998598,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,3.2880962530771893,8.0,0.7944522157377125,0.7649274939583262,6,0.9507645166008047,6.110517003635426,264,15.0,0.9341403811385913,0.9193243271183121,3,824
10,4.8,8;10;12;15,4782,1145,1520,434060,26770,38720,15559,23161,0.12191638858124987,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.691331418355306,8.0,0.7735297632576967,0.7947724476908565,6,0.952459031750572,6.0725752636272325,264,8.0,0.950448365876706,0.9166888362721064,1,264
11,4.8,8;10;12;15,4760,1127,1560,411417,23445,49828,23640,26188,0.16529435844861984,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.7603755672772725,8.0,0.7725763611099413,0.785620637266342,6,0.9539094673254577,6.056186353942073,264,12.0,0.9404631371206476,0.9509149957149619,1,584
12,4.8,8;10;12;15,4780,1181,1486,422181,24564,45470,19984,25486,0.21932726967103,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.237387748559316,15.0,0.7920606284765613,0.7210172575791152,10,0.9509293204926085,9.653527797961,824,10.0,0.9501872330094628,0.9403445272501452,1,424
13,4.8,8;10;12;15,4712,1266,1469,400632,35348,38881,21750,17131,0.18370105951635718,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.08377826611201,8.0,0.7978711276767613,0.7759738834686328,6,0.9522259521846465,6.108624832058833,264,8.0,0.9384047628305885,0.95967494298499,1,264
14,4.8,8;10;12;15,4760,1161,1526,425432,27828,39954,17637,22317,0.17493108934110935,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.155091961224874,8.0,0.7873589320185129,0.7760610233618289,6,0.9532772737972293,6.119264230788465,264,10.0,0.959070097913808,0.9509921127029383,1,424
15,4.8,8;10;12;15,4700,1257,1490,395403,32751,44722,19964,24758,0.18313576360868278,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,1.6822848002115884,8.0,0.8074702020602766,0.7601918852593688,6,0.9530444677309456,6.1116582356243185,264,10.0,0.9516456344145251,0.9433276488680515,1,424
16,4.8,8;10;12;15,4783,1217,1447,430717,27526,38462,16975,21487,0.19500970995031908,GroupShuffleSplit,RCSB30_sequence_cluster,0.2,0.2,64,0.2,0.001,0.0001,4096,20,4,2.155133632818858,8.0,0.8212240745159833,0.7595120822790202,6,0.9528713024472525,6.178618378065698,264,15.0,0.9437166688680184,0.9545217922293393,1,824
